event_id,station_lat,lon,start_date,end_date,peak_date,intensity,duration_d,event_type,environmental_source,in_season
uwi33_076,33,-119.5,2001-04-02 00:00:00+00:00,2001-04-12 00:00:00+00:00,2001-04-12 00:00:00+00:00,288.85604407142847,10,upwelling_pulse,Bakun UWI 33N,True
uwi33_077,33,-119.5,2001-12-04 00:00:00+00:00,2001-12-04 00:00:00+00:00,2001-12-04 00:00:00+00:00,45.10504809833323,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_078,33,-119.5,2002-01-22 00:00:00+00:00,2002-01-23 00:00:00+00:00,2002-01-23 00:00:00+00:00,123.94501713928561,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_079,33,-119.5,2002-03-08 00:00:00+00:00,2002-03-08 00:00:00+00:00,2002-03-08 00:00:00+00:00,50.242493958214176,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_080,33,-119.5,2002-03-24 00:00:00+00:00,2002-03-25 00:00:00+00:00,2002-03-24 00:00:00+00:00,102.99279041071418,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_081,33,-119.5,2002-04-15 00:00:00+00:00,2002-04-20 00:00:00+00:00,2002-04-20 00:00:00+00:00,267.34108529166656,5,upwelling_pulse,Bakun UWI 33N,True
uwi33_082,33,-119.5,2003-02-02 00:00:00+00:00,2003-02-02 00:00:00+00:00,2003-02-02 00:00:00+00:00,26.23417345714274,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_083,33,-119.5,2003-02-26 00:00:00+00:00,2003-02-28 00:00:00+00:00,2003-02-26 00:00:00+00:00,85.93570207857132,2,upwelling_pulse,Bakun UWI 33N,False
uwi33_084,33,-119.5,2003-09-23 00:00:00+00:00,2003-10-03 00:00:00+00:00,2003-09-29 00:00:00+00:00,173.35876678571415,10,upwelling_pulse,Bakun UWI 33N,True
uwi33_085,33,-119.5,2003-11-22 00:00:00+00:00,2003-11-22 00:00:00+00:00,2003-11-22 00:00:00+00:00,33.66826273571416,0,upwelling_pulse,Bakun UWI 33N,False
uwi33_086,33,-119.5,2003-12-26 00:00:00+00:00,2003-12-27 00:00:00+00:00,2003-12-27 00:00:00+00:00,37.86501543571415,1,upwelling_pulse,Bakun UWI 33N,False
uwi33_087,33,-119.5,2004-01-31 00:00:00+00:00,2004-02-01 00:00:00+00:00,2004-02-01 00:00:00+00:00,50.98352726428558,1,upwelling_pulse,Bakun UWI 33N,False
