occurrence_no,collection_no,accepted_name,genus,family,order,guild,resolution,taxon,lng,lat,eag,lag,mid_ma,early_interval,env,formation,member,collection_name,stp,abu,abv
occ:183805,17973,Metatomarctus canavus,Metatomarctus,Canidae,Carnivora,predator,genus,Metatomarctus,-103.099998,42.200001,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Nonpareil Sand Pit,Nebraska,,
occ:183806,17974,Brachyerix richi,Brachyerix,Erinaceidae,NO_ORDER_SPECIFIED,other,genus,Brachyerix,-103.099998,42.799999,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,North Branch of Cottonwood Creek,Nebraska,,
occ:183807,17975,Tomarctus hippophaga,Tomarctus,Canidae,Carnivora,predator,genus,Tomarctus,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,subcycle 1,North Wall Quarry,Nebraska,,
occ:183808,17975,Merycodus sabulonis,Merycodus,Antilocapridae,Artiodactyla,herbivore,genus,Merycodus,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,subcycle 1,North Wall Quarry,Nebraska,,
occ:183809,17976,Metechinus amplior,Metechinus,Erinaceidae,NO_ORDER_SPECIFIED,other,genus,Metechinus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183810,17976,Jimomys labaughi,Jimomys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,genus,Jimomys,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183811,17976,Trilaccogaulus bettae,Trilaccogaulus,Mylagaulidae,Rodentia,herbivore,genus,Trilaccogaulus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183812,17976,Alphagaulus vetus,Alphagaulus,Mylagaulidae,Rodentia,herbivore,genus,Alphagaulus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183813,17976,Umbogaulus galushai,Umbogaulus,Mylagaulidae,Rodentia,herbivore,genus,Umbogaulus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183814,17976,Monosaulax tedi,Monosaulax,Castoridae,Rodentia,herbivore,genus,Monosaulax,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183815,17976,Cynarctoides acridens,Cynarctoides,Canidae,Carnivora,predator,genus,Cynarctoides,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183816,17976,Paracynarctus sinclairi,Paracynarctus,Canidae,Carnivora,predator,genus,Paracynarctus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183817,17976,Tomarctus hippophaga,Tomarctus,Canidae,Carnivora,predator,genus,Tomarctus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183818,17976,Pliocyon,Pliocyon,Amphicyonidae,Carnivora,predator,genus,Pliocyon,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183819,17976,Arctonasua minima,Arctonasua,Procyonidae,Carnivora,predator,genus,Arctonasua,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183820,17976,Probassariscus matthewi,Probassariscus,Procyonidae,Carnivora,predator,genus,Probassariscus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183821,17976,Stirtonhyus xiphodonticus,Stirtonhyus,Tayassuidae,Artiodactyla,herbivore,genus,Stirtonhyus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183822,17976,Brachycrus siouense,Brachycrus,Merycoidodontidae,Artiodactyla,herbivore,genus,Brachycrus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183823,17976,Ticholeptus zygomaticus,Ticholeptus,Merycoidodontidae,Artiodactyla,herbivore,genus,Ticholeptus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183824,17976,Merychyus relictus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183825,17976,Pseudoparablastomeryx scotti,Pseudoparablastomeryx,Leptomerycidae,Artiodactyla,herbivore,genus,Pseudoparablastomeryx,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183826,17976,Bouromeryx americanus,Bouromeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Bouromeryx,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183827,17976,Dromomeryx borealis,Dromomeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Dromomeryx,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183828,17976,Drepanomeryx falciformis,Drepanomeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Drepanomeryx,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183829,17976,Blastomeryx gemmifer,Blastomeryx,Moschidae,Artiodactyla,herbivore,genus,Blastomeryx,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183830,17976,Lambdoceras siouxensis,Lambdoceras,Protoceratidae,Artiodactyla,herbivore,genus,Lambdoceras,-102.849998,42.683334,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,,,Observation Quarry,Nebraska,,
occ:183831,17977,Oreolagus nebrascensis,Oreolagus,Ochotonidae,Lagomorpha,herbivore,genus,Oreolagus,-103.099998,42.799999,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Oreolagus nebrascensis Type Locality,Nebraska,,
occ:183832,17978,Cynarctoides acridens,Cynarctoides,Canidae,Carnivora,predator,genus,Cynarctoides,-103.099998,42.799999,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Pebble Creek,Nebraska,,
occ:183833,17978,Metatomarctus canavus,Metatomarctus,Canidae,Carnivora,predator,genus,Metatomarctus,-103.099998,42.799999,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Pebble Creek,Nebraska,,
occ:183834,17978,Merycochoerus proprius,Merycochoerus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merycochoerus,-103.099998,42.799999,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Pebble Creek,Nebraska,,
occ:183835,17978,Ticholeptus bluei,Ticholeptus,Merycoidodontidae,Artiodactyla,herbivore,genus,Ticholeptus,-103.099998,42.799999,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Pebble Creek,Nebraska,,
occ:183836,17979,Peridiomys rusticus,Peridiomys,Heteromyidae,Rodentia,herbivore,genus,Peridiomys,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Pepper Creek,Nebraska,,
occ:183837,17979,Tomarctus hippophaga,Tomarctus,Canidae,Carnivora,predator,genus,Tomarctus,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Pepper Creek,Nebraska,,
occ:183838,17979,Tylocephalonyx skinneri,Tylocephalonyx,Chalicotheriidae,Perissodactyla,herbivore,genus,Tylocephalonyx,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Pepper Creek,Nebraska,,
occ:183839,17979,Ticholeptus zygomaticus,Ticholeptus,Merycoidodontidae,Artiodactyla,herbivore,genus,Ticholeptus,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Pepper Creek,Nebraska,,
occ:183840,17979,Merychyus relictus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Pepper Creek,Nebraska,,
occ:183841,17980,Osbornodon fricki,Osbornodon,Canidae,Carnivora,predator,genus,Osbornodon,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Pliohippus Draw (Lower),Nebraska,,
occ:183842,17980,Mionictis letifer,Mionictis,Mustelidae,Carnivora,predator,genus,Mionictis,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Pliohippus Draw (Lower),Nebraska,,
occ:183843,17980,Tylocephalonyx skinneri,Tylocephalonyx,Chalicotheriidae,Perissodactyla,herbivore,genus,Tylocephalonyx,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Pliohippus Draw (Lower),Nebraska,,
occ:183844,17981,Plesiosminthus grangeri,Plesiosminthus,Zapodidae,Rodentia,herbivore,genus,Plesiosminthus,-101.900002,43.5,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,"""Lower Rosebud"" Beds",,Potato Creek,South Dakota,,
occ:183845,17982,Merychyus elegans,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Potter Quarry,Nebraska,,
occ:183846,17983,Brachypsalis obliquidens,Brachypsalis,Mustelidae,Carnivora,predator,genus,Brachypsalis,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Princeton Loc. 1000C,Nebraska,,
occ:183847,17983,Plionictis ogygia,Plionictis,Mustelidae,Carnivora,predator,genus,Plionictis,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Princeton Loc. 1000C,Nebraska,,
occ:183848,17983,Brachycrus siouense,Brachycrus,Merycoidodontidae,Artiodactyla,herbivore,genus,Brachycrus,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Princeton Loc. 1000C,Nebraska,,
occ:183849,17983,Drepanomeryx falciformis,Drepanomeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Drepanomeryx,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Princeton Loc. 1000C,Nebraska,,
occ:183850,17983,Blastomeryx gemmifer,Blastomeryx,Moschidae,Artiodactyla,herbivore,genus,Blastomeryx,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Princeton Loc. 1000C,Nebraska,,
occ:183851,17984,Merycodus,Merycodus,Antilocapridae,Artiodactyla,herbivore,genus,Merycodus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Princeton Locality 1000D,Nebraska,,
occ:183852,17985,Cynarctoides acridens,Cynarctoides,Canidae,Carnivora,predator,genus,Cynarctoides,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Prosynthetoceras Quarry,Nebraska,,
occ:183853,17985,Amphicyon,Amphicyon,Amphicyonidae,Carnivora,predator,genus,Amphicyon,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Prosynthetoceras Quarry,Nebraska,,
occ:183854,17985,Desmatippus integer,Desmatippus,Equidae,Perissodactyla,herbivore,genus,Desmatippus,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Prosynthetoceras Quarry,Nebraska,,
occ:183855,17985,Moropus merriami,Moropus,Chalicotheriidae,Perissodactyla,herbivore,genus,Moropus,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Prosynthetoceras Quarry,Nebraska,,
occ:183856,17985,Stirtonhyus xiphodonticus,Stirtonhyus,Tayassuidae,Artiodactyla,herbivore,genus,Stirtonhyus,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Prosynthetoceras Quarry,Nebraska,,
occ:183857,17985,Lambdoceras siouxensis,Lambdoceras,Protoceratidae,Artiodactyla,herbivore,genus,Lambdoceras,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,,Prosynthetoceras Quarry,Nebraska,,
occ:183858,17986,Archaeohippus,Archaeohippus,Equidae,Perissodactyla,herbivore,genus,Archaeohippus,-103.099998,42.200001,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Red Valley,Quarter Mile East of Foley Quarry,Nebraska,,
occ:183859,17987,Cynarctoides acridens,Cynarctoides,Canidae,Carnivora,predator,genus,Cynarctoides,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Ravine Quarry,Nebraska,,
occ:183860,17987,Protomarctus optatus,Protomarctus,Canidae,Carnivora,predator,genus,Protomarctus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Ravine Quarry,Nebraska,,
occ:183861,17987,Archaeohippus penultimus,Archaeohippus,Equidae,Perissodactyla,herbivore,genus,Archaeohippus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Ravine Quarry,Nebraska,,
occ:183862,17987,Chalicotheriidae,,Chalicotheriidae,Perissodactyla,herbivore,indeterminate,,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Ravine Quarry,Nebraska,,
occ:183863,17987,Merychyus relictus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Ravine Quarry,Nebraska,,
occ:183864,17987,Stirtonhyus xiphodonticus,Stirtonhyus,Tayassuidae,Artiodactyla,herbivore,genus,Stirtonhyus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Ravine Quarry,Nebraska,,
occ:183865,17988,Tylocephalonyx skinneri,Tylocephalonyx,Chalicotheriidae,Perissodactyla,herbivore,genus,Tylocephalonyx,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Rhino Quarry (F:AM),Nebraska,,
occ:183866,17989,Phlaocyon yatkolai,Phlaocyon,Canidae,Carnivora,predator,genus,Phlaocyon,-103.099998,42.200001,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Runningwater Quarry,Nebraska,,
occ:183867,17989,Desmocyon thomsoni,Desmocyon,Canidae,Carnivora,predator,genus,Desmocyon,-103.099998,42.200001,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Runningwater Quarry,Nebraska,,
occ:183868,17989,Cynelos,Cynelos,Amphicyonidae,Carnivora,predator,genus,Cynelos,-103.099998,42.200001,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Runningwater Quarry,Nebraska,,
occ:183869,17989,Merychyus elegans,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-103.099998,42.200001,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Runningwater Quarry,Nebraska,,
occ:183870,17989,Aletomeryx gracilis,Aletomeryx,Palaeomerycidae,Artiodactyla,herbivore,genus,Aletomeryx,-103.099998,42.200001,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,Runningwater,,Runningwater Quarry,Nebraska,,
occ:183871,17990,Bouromeryx americanus,Bouromeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Bouromeryx,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Dawes Clay,Sand Canyon (Dawes Clay),Nebraska,,
occ:183872,17990,Merycodontinae,,Antilocapridae,Artiodactyla,herbivore,indeterminate,,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Dawes Clay,Sand Canyon (Dawes Clay),Nebraska,,
occ:183873,17991,Brachyerix macrotis,Brachyerix,Erinaceidae,NO_ORDER_SPECIFIED,other,genus,Brachyerix,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Red Valley,Sand Canyon Quarry,Nebraska,,
occ:183874,17991,Phlaocyon leucosteus,Phlaocyon,Canidae,Carnivora,predator,genus,Phlaocyon,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Red Valley,Sand Canyon Quarry,Nebraska,,
occ:183875,17991,Miomustela,Miomustela,Mustelidae,Carnivora,predator,genus,Miomustela,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Red Valley,Sand Canyon Quarry,Nebraska,,
occ:183876,17991,Archaeohippus,Archaeohippus,Equidae,Perissodactyla,herbivore,genus,Archaeohippus,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Red Valley,Sand Canyon Quarry,Nebraska,,
occ:183877,17991,Merychyus elegans,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Red Valley,Sand Canyon Quarry,Nebraska,,
occ:183878,17991,Bouromeryx,Bouromeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Bouromeryx,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Red Valley,Sand Canyon Quarry,Nebraska,,
occ:183879,17991,Paracosoryx wilsoni,Paracosoryx,Antilocapridae,Artiodactyla,herbivore,genus,Paracosoryx,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,Red Valley,Sand Canyon Quarry,Nebraska,,
occ:183880,17992,Merychyus relictus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,subcycle 2,Sand Quarry,Nebraska,,
occ:183881,17993,Cynarctoides acridens,Cynarctoides,Canidae,Carnivora,predator,genus,Cynarctoides,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Box Butte,,Schoolhouse Prospect No. 2,Nebraska,,
occ:183882,17994,Menoceras barbouri,Menoceras,Rhinocerotidae,Perissodactyla,herbivore,genus,Menoceras,-104.5,43.0,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Seaman Hills,Wyoming,,
occ:183883,17995,Cranioceras unicornis,Cranioceras,Dromomerycidae,Artiodactyla,herbivore,genus,Cranioceras,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,subcycle 2,Sinclair Quarry,Nebraska,,
occ:183884,17995,Dromomeryx borealis,Dromomeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Dromomeryx,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,subcycle 2,Sinclair Quarry,Nebraska,,
occ:183885,17995,Rakomeryx sinclairi,Rakomeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Rakomeryx,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,subcycle 2,Sinclair Quarry,Nebraska,,
occ:183886,17995,Merycodus sabulonis,Merycodus,Antilocapridae,Artiodactyla,herbivore,genus,Merycodus,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,subcycle 2,Sinclair Quarry,Nebraska,,
occ:183887,17996,Brachycrus siouense,Brachycrus,Merycoidodontidae,Artiodactyla,herbivore,genus,Brachycrus,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,subcycle 1,Snake Quarry,Nebraska,,
occ:183888,17996,Dromomeryx borealis,Dromomeryx,Dromomerycidae,Artiodactyla,herbivore,genus,Dromomeryx,-103.800003,42.400002,16.3,12.5,14.4,Early Barstovian,terrestrial indet.,Olcott,subcycle 1,Snake Quarry,Nebraska,,
occ:183889,17997,Desmocyon thomsoni,Desmocyon,Canidae,Carnivora,predator,genus,Desmocyon,-103.099998,42.799999,18.5,16.3,17.4,Early Hemingfordian,terrestrial indet.,? Runningwater,,Spiers Quarry,Nebraska,,
occ:183890,17998,Aelurodon asthenostylus,Aelurodon,Canidae,Carnivora,predator,genus,Aelurodon,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sand Canyon,,Surprise Quarry,Nebraska,,
occ:183891,17999,Tomarctus hippophaga,Tomarctus,Canidae,Carnivora,predator,genus,Tomarctus,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Survey Quarry,Nebraska,,
occ:183892,17999,Stirtonhyus xiphodonticus,Stirtonhyus,Tayassuidae,Artiodactyla,herbivore,genus,Stirtonhyus,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Survey Quarry,Nebraska,,
occ:183893,17999,Ticholeptus zygomaticus,Ticholeptus,Merycoidodontidae,Artiodactyla,herbivore,genus,Ticholeptus,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Survey Quarry,Nebraska,,
occ:183894,17999,Cranioceras,Cranioceras,Dromomerycidae,Artiodactyla,herbivore,genus,Cranioceras,-103.099998,42.799999,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,,,Survey Quarry,Nebraska,,
occ:183895,18000,Protomarctus optatus,Protomarctus,Canidae,Carnivora,predator,genus,Protomarctus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thistle Quarry,Nebraska,,
occ:183896,18000,Amphicyon,Amphicyon,Amphicyonidae,Carnivora,predator,genus,Amphicyon,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thistle Quarry,Nebraska,,
occ:183897,18000,Merychyus relictus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,genus,Merychyus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thistle Quarry,Nebraska,,
occ:183898,18000,Merycodus minor,Merycodus,Antilocapridae,Artiodactyla,herbivore,genus,Merycodus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thistle Quarry,Nebraska,,
occ:183899,18000,Sinclairomeryx riparius,Sinclairomeryx,Palaeomerycidae,Artiodactyla,herbivore,genus,Sinclairomeryx,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thistle Quarry,Nebraska,,
occ:183900,18000,Archaeohippus penultimus,Archaeohippus,Equidae,Perissodactyla,herbivore,genus,Archaeohippus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thistle Quarry,Nebraska,,
occ:183901,18000,Merychippus primus,Merychippus,Equidae,Perissodactyla,herbivore,genus,Merychippus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thistle Quarry,Nebraska,,
occ:183902,18001,Alphagaulus vetus,Alphagaulus,Mylagaulidae,Rodentia,herbivore,genus,Alphagaulus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183903,18001,Mesogaulus novellus,Mesogaulus,Mylagaulidae,Rodentia,herbivore,genus,Mesogaulus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183904,18001,Osbornodon fricki,Osbornodon,Canidae,Carnivora,predator,genus,Osbornodon,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183905,18001,Protomarctus optatus,Protomarctus,Canidae,Carnivora,predator,genus,Protomarctus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183906,18001,Cynarctoides acridens,Cynarctoides,Canidae,Carnivora,predator,genus,Cynarctoides,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183907,18001,Cynelos idoneus,Cynelos,Amphicyonidae,Carnivora,predator,genus,Cynelos,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183908,18001,Pliocyon,Pliocyon,Amphicyonidae,Carnivora,predator,genus,Pliocyon,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183909,18001,Amphicyon frendens,Amphicyon,Amphicyonidae,Carnivora,predator,genus,Amphicyon,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183910,18001,Brachypsalis matutinus,Brachypsalis,Mustelidae,Carnivora,predator,genus,Brachypsalis,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183911,18001,Sthenictis bellus,Sthenictis,Mustelidae,Carnivora,predator,genus,Sthenictis,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183912,18001,Dinogale siouxensis,Dinogale,Mustelidae,Carnivora,predator,genus,Dinogale,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183913,18001,Archaeohippus penultimus,Archaeohippus,Equidae,Perissodactyla,herbivore,genus,Archaeohippus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183914,18001,Merychippus primus,Merychippus,Equidae,Perissodactyla,herbivore,genus,Merychippus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183915,18001,Tylocephalonyx skinneri,Tylocephalonyx,Chalicotheriidae,Perissodactyla,herbivore,genus,Tylocephalonyx,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183916,18001,Hesperhys vagrans,Hesperhys,Tayassuidae,Artiodactyla,herbivore,genus,Hesperhys,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
occ:183917,18001,Brachycrus laticeps,Brachycrus,Merycoidodontidae,Artiodactyla,herbivore,genus,Brachycrus,-103.800003,42.400002,18.5,16.3,17.4,Hemingfordian,terrestrial indet.,Sheep Creek,middle,Thomson Quarry,Nebraska,,
