country,year,pim_produced_plus_intan,cwon_pca
Finland,2011,1100806.712474662,1064550246935.52
Finland,2012,1125249.5368734123,1091287942140.61
Finland,2013,1147901.8992737024,1112709630878.4
Finland,2014,1166319.6032219804,1130917125195.42
Finland,2015,1181308.0080026377,1148774010393.22
Finland,2016,1193413.0089223492,1172618543944.05
Finland,2017,1209761.1353690042,1199391355953.06
Finland,2018,1229807.1611824774,1228092788843.5
Finland,2019,1252749.4579575378,1254940148625.21
France,1995,9829248.749210618,6884201899000.52
France,1996,10009101.862037577,7017686106568.56
France,1997,10151638.997694386,7146013744474.46
France,1998,10269980.598231478,7293088959986.55
France,1999,10404107.819264526,7470842391199.01
France,2000,10547844.357431,7677944189785.76
France,2001,10709211.199888028,7885841628272.63
France,2002,10850881.806563724,8076928788306.42
France,2003,10963298.36788325,8268749077024.49
France,2004,11083282.784684546,8472081636280.2
France,2005,11290994.514605938,8683623370392.03
France,2006,11534045.49874023,8905283147527.64
France,2007,11817637.38506306,9147120114949.3
France,2008,12139427.943953136,9381631353024.13
France,2009,12458380.356908718,9550502255974.48
France,2010,12662754.496396407,9726439527959.97
France,2011,12899510.617248613,9908465165870.46
France,2012,13150536.737120174,10085805567836.6
France,2013,13401691.815851932,10253756228249.3
France,2014,13628341.337796664,10413825602557.7
France,2015,13869899.19870824,10567475324485.8
France,2016,14100602.468908664,10724010438684.5
France,2017,14314633.56912512,10901016316605.3
France,2018,14573356.849456638,11090653424033.2
France,2019,14837095.411132397,11295252317062.0
Germany,1995,13618773.019248037,11397941737498.3
Germany,1996,13957331.185655514,11693829470334.5
Germany,1997,14286061.106073447,11974234999648.6
Germany,1998,14602858.75782367,12264608825503.6
Germany,1999,14908308.160460383,12573954011406.0
Germany,2000,15200096.72839584,12884082209171.5
Germany,2001,15482711.208396155,13152022121829.4
Germany,2002,15747022.099219717,13352032433725.3
Germany,2003,15982443.814263217,13523372732293.4
Germany,2004,16194062.595845638,13679737972753.2
Germany,2005,16384923.569534581,13832279862699.2
Germany,2006,16556504.1188024,14027420503124.3
Germany,2007,16721087.318648908,14233613342514.9
Germany,2008,16882939.22246925,14431240959663.3
Germany,2009,17046443.091597505,14531586636978.7
Germany,2010,17187278.611307032,14676399165833.0
Germany,2011,17328260.296708066,14752313152453.2
Germany,2012,17480550.543377757,14943036856397.8
Germany,2013,17636301.395452388,15122034157610.3
Germany,2014,17795720.043045096,15332873905451.8
Germany,2015,17964869.602010865,15583359280793.8
Germany,2016,18137720.65559006,15855115350713.6
Germany,2017,18312693.17895196,16106413822271.6
Germany,2018,18500337.897571195,16372193422054.9
Germany,2019,18699638.964440443,16642630341148.0
Greece,1995,1615237.729625646,340009585750.26
Greece,1996,1642681.1288337605,347890041227.109
Greece,1997,1671908.921232296,355953292182.192
Greece,1998,1697562.0369947173,367524392564.792
Greece,1999,1726206.6978943474,379542666543.015
Greece,2000,1752258.4570749407,391459209789.405
Greece,2001,1779455.8302890349,404267810506.332
Greece,2002,1804606.7020189362,416350170942.246
Greece,2003,1827444.7992276787,431095677978.529
Greece,2004,1863737.5507172719,445869854993.976
Greece,2005,1904181.8980010725,456657941691.393
Greece,2006,1935564.5845023082,471939184199.702
Greece,2007,1982273.2678855723,491006765447.978
Greece,2008,2039635.2161878766,506344411042.75
Greece,2009,2087176.391412397,516244897925.749
Greece,2010,2107356.0495685902,519763689218.22
Greece,2011,2112874.621860303,516648123969.328
Greece,2012,2096031.0196283478,509438962700.663
Greece,2013,2071690.6315039492,501720874959.895
Greece,2014,2050239.1440767848,494320208507.008
Greece,2015,2031666.3924319718,487310052382.407
Greece,2016,2014442.3404051661,481487758002.745
Greece,2017,1998156.914381702,477469761461.826
Greece,2018,1983766.7612143375,472709835348.711
Greece,2019,1971969.7782088383,467759225004.639
