country,iso3,year,tfp_M0,tfp_M2,tfp_Mobs,alpha
Canada,CAN,1960,1.1875912852016342,1.1939137217372853,1.220842071962565,0.292327287367412
Canada,CAN,1961,1.2042867271775242,1.210421184698606,1.2359423388638602,0.292327287367412
Canada,CAN,1962,1.238138644752432,1.2434375420309323,1.2673222280032483,0.292327287367412
Canada,CAN,1963,1.2617048373387707,1.2671033287509044,1.2894991306597756,0.292327287367412
Canada,CAN,1964,1.2882831320434596,1.2940613749214984,1.3151331433309474,0.292327287367412
Canada,CAN,1965,1.3102602954231335,1.3172108321851708,1.3371600373264174,0.292327287367412
Canada,CAN,1966,1.3414540174051828,1.3507502739274608,1.3697735702851572,0.292327287367412
Canada,CAN,1967,1.3376667568917204,1.349112072498964,1.367228267973874,0.292327287367412
Canada,CAN,1968,1.3790033125884493,1.3901732153700594,1.407216488397979,0.292327287367412
Canada,CAN,1969,1.3982035085176108,1.4093415116190968,1.425280623820246,0.292327287367412
Canada,CAN,1970,1.4129053146907147,1.4250992236482283,1.4399638358756945,0.292327287367412
Canada,CAN,1971,1.4247081593209705,1.436488677178331,1.450295343327615,0.292327287367412
Canada,CAN,1972,1.4371323902807784,1.4494652395948115,1.4622470555316287,0.292327287367412
Canada,CAN,1973,1.4504753956463183,1.4637133250489995,1.475485371530489,0.292327287367412
Canada,CAN,1974,1.4293896458526794,1.444587536084991,1.4553077488029649,0.292327287367412
Canada,CAN,1975,1.4213694227824902,1.439720334817851,1.4492667390051555,0.292327287367412
Canada,CAN,1976,1.4508493033191838,1.471029844537159,1.4793712022404586,0.292327287367412
Canada,CAN,1977,1.4582715425112998,1.479881654457932,1.4870224793135733,0.292327287367412
Canada,CAN,1978,1.452478310054202,1.4743749550599095,1.4804190419650265,0.292327287367412
Canada,CAN,1979,1.4364306866061636,1.457942443373689,1.4630375546782695,0.292327287367412
Canada,CAN,1980,1.4213932705861119,1.4441579563229539,1.4482532005324238,0.292327287367412
Canada,CAN,1981,1.4245882305626516,1.4472680754035068,1.4504813655243378,0.292327287367412
Canada,CAN,1982,1.4078083969712294,1.4314005276062156,1.4337286055608347,0.292327287367412
Canada,CAN,1983,1.4182406842999313,1.438245563098734,1.4402075946638035,0.292327287367412
Canada,CAN,1984,1.439515928537828,1.4576355505330891,1.4594112011395968,0.292327287367412
Canada,CAN,1985,1.4434984201124683,1.4613732672924966,1.4628852594052217,0.292327287367412
Canada,CAN,1986,1.4252311616740974,1.4439388490052538,1.444998973255104,0.292327287367412
Canada,CAN,1987,1.4242398060682566,1.443731253175753,1.4442131881362874,0.292327287367412
Canada,CAN,1988,1.4264036753619695,1.4469413454980042,1.446725360245301,0.292327287367412
Canada,CAN,1989,1.4193650027235831,1.4418689078429265,1.4407362130937242,0.292327287367412
Canada,CAN,1990,1.4038495617183768,1.4274850415486666,1.4254404780848153,0.292327287367412
Canada,CAN,1991,1.3894944109114178,1.4118404984698039,1.4092711197999819,0.292327287367412
Canada,CAN,1992,1.3935860427693703,1.4139569247761523,1.4112329768153336,0.292327287367412
Canada,CAN,1993,1.4033415159098377,1.4214207018820213,1.4188391904117497,0.292327287367412
Canada,CAN,1994,1.415852047730847,1.4329040976654985,1.4304626745545361,0.292327287367412
Canada,CAN,1995,1.418455263754053,1.4353479455276208,1.4329010740121433,0.292327287367412
