ind,cell,ym,u_t,u_tm12
OR55_OR15,3804,24226,0.0,0.0
OR55_OR15,3804,24232,0.0,0.0
OR55_OR15,3805,24226,0.0,0.0
OR55_OR15,3805,24232,0.0,0.0
OR55_OR15,3810,24226,0.0,0.0
OR55_OR15,3810,24232,0.0,0.0
OR55_OR15,3811,24226,0.0,0.0
OR55_OR15,3811,24232,0.0,0.0
OR55_OR15,3896,24226,0.0,0.0
OR55_OR15,3896,24232,0.0,0.0
OR55_OR15,3897,24226,0.0,0.0
OR55_OR15,3897,24232,0.0,0.0
OR55_OR15,3898,24226,0.0,0.0
OR55_OR15,3898,24232,0.0,0.0
OR55_OR15,3899,24226,0.0,0.029850746268656716
OR55_OR15,3899,24232,0.0,0.0
OR55_OR15,3900,24226,0.0,0.0
OR55_OR15,3900,24232,0.0,0.0
OR55_OR15,3905,24226,0.0,0.0
OR55_OR15,3905,24232,0.0,0.0
OR55_OR15,3907,24226,0.0,0.0
OR55_OR15,3907,24232,0.0,0.0
OR55_OR15,3910,24226,0.0,0.0
OR55_OR15,3910,24232,0.0,0.0
OR55_OR15,3911,24226,0.0,0.0
OR55_OR15,3911,24232,0.0,0.0
OR55_OR15,3912,24226,0.0,0.0
OR55_OR15,3912,24232,0.0,0.0
OR55_OR15,3913,24226,0.0,0.0
OR55_OR15,3913,24232,0.0,0.0
OR55_OR15,3914,24226,0.0,0.0
OR55_OR15,3914,24232,0.0,0.0
OR55_OR15,3915,24226,0.0,0.0
OR55_OR15,3915,24232,0.0,0.0
OR55_OR15,4003,24226,0.0,0.0
OR55_OR15,4003,24232,0.0,0.0
OR55_OR15,4004,24226,0.0,0.029850746268656716
OR55_OR15,4004,24232,0.0,0.0
OR55_OR15,4005,24226,0.0,0.0
OR55_OR15,4005,24232,0.0,0.0
OR55_OR15,4010,24226,0.0,0.0
OR55_OR15,4010,24232,0.0,0.0
OR55_OR15,4011,24226,0.0,0.0
OR55_OR15,4011,24232,0.0,0.0
OR55_OR15,4110,24226,0.0,0.0
OR55_OR15,4110,24232,0.0,0.0
OR55_OR15,4111,24226,0.0,0.014925373134328358
OR55_OR15,4111,24232,0.0,0.0
OR55_OR15,4115,24226,0.0,0.0
OR55_OR15,4115,24232,0.0,0.0
OR55_OR15,4216,24226,0.0,0.014925373134328358
OR55_OR15,4216,24232,0.0,0.0
OR55_OR15,4217,24226,0.0,0.0
OR55_OR15,4217,24232,0.0,0.0
OR55_OR15,4219,24226,0.0,0.0
OR55_OR15,4219,24232,0.0,0.0
OR55_OR15,4220,24226,0.0,0.0
OR55_OR15,4220,24232,0.0,0.0
OR55_OR15,4322,24226,0.0,0.0
OR55_OR15,4322,24232,0.0,0.0
OR55_OR15,4323,24226,0.0,0.0
OR55_OR15,4323,24232,0.0,0.0
OR55_OR15,4324,24226,0.0,0.1044776119402985
OR55_OR15,4324,24232,0.0,0.0
OR55_OR15,4429,24226,0.0,0.04477611940298507
OR55_OR15,4429,24232,0.0,0.0
OR55_OR15,4430,24226,0.0,0.014925373134328358
OR55_OR15,4430,24232,0.0,0.0
OR55_OR15,4431,24226,0.0,0.0
OR55_OR15,4431,24232,0.0,0.0
OR55_OR15,4432,24226,0.0,0.0
OR55_OR15,4432,24232,0.0,0.0
OR55_OR15,4433,24226,0.0,0.0
OR55_OR15,4433,24232,0.0,0.0
OR55_OR15,4536,24226,0.0,0.014925373134328358
OR55_OR15,4536,24232,0.0,0.0
OR55_OR15,4537,24226,0.0,0.0
OR55_OR15,4537,24232,0.0,0.0
OR55_OR15,4642,24226,0.0,0.0
OR55_OR15,4642,24232,0.0,0.0
OR55_OR15,4643,24226,0.0,0.0
OR55_OR15,4643,24232,0.0,0.0
OR56_BL251,2677,24202,0.0,0.0
OR56_BL251,2677,24208,0.0,0.0
OR56_BL251,2780,24202,0.0,0.0
OR56_BL251,2780,24208,0.0,0.0
OR56_BL251,2781,24202,0.0,0.0
OR56_BL251,2781,24208,0.0,0.0
OR56_BL251,2782,24202,0.0,0.0
OR56_BL251,2782,24208,0.0,0.0
