AOU,routes,years,nz,tot,med_n,nz_frac,included,reason
5930,2346,32,36242,36242,26.0,1.0,True,
5935,11,26,73,73,41.0,1.0,False,few_routes
5940,134,27,1476,1476,6.0,1.0,False,few_routes
5950,1651,32,17326,17326,3.0,1.0,True,
5960,933,29,9167,9167,4.0,1.0,False,few_routes
5970,1684,31,19203,19203,5.0,1.0,True,
5980,2380,33,33591,33591,15.0,1.0,True,
5986,1,1,1,1,1.0,1.0,False,few_routes
5990,740,28,5886,5886,3.0,1.0,False,few_routes
60,954,29,3888,3888,2.0,1.0,False,few_routes
600,146,28,472,472,2.0,1.0,False,few_routes
6000,28,26,153,153,2.0,1.0,False,few_routes
6010,466,28,5360,5360,7.0,1.0,False,few_routes
6040,1308,27,14117,14117,14.0,1.0,False,few_years
6050,462,29,3696,3696,21.0,1.0,False,few_routes
6070,958,30,10013,10013,8.0,1.0,False,few_routes
6080,1575,30,16454,16454,3.0,1.0,True,
6090,50,26,490,490,2.0,1.0,False,few_routes
6100,1168,29,13725,13725,4.0,1.0,False,few_years
6110,1946,31,19068,19068,7.0,1.0,True,
6120,2935,33,25392,25392,12.0,1.0,True,
6121,140,27,990,990,12.0,1.0,False,few_routes
6122,43,24,162,162,11.0,1.0,False,few_routes
6130,4042,36,53630,53630,11.0,1.0,True,
6140,3288,35,31948,31948,4.0,1.0,True,
6150,965,30,8350,8350,6.0,1.0,False,few_routes
6160,1433,31,7043,7043,5.0,1.0,True,
6170,2830,31,18691,18691,2.0,1.0,True,
6180,121,26,486,486,2.0,1.0,False,few_routes
6185,6,7,7,7,1.0,1.0,False,few_routes
6190,2830,35,29055,29055,7.0,1.0,True,
620,4,5,6,6,2.0,1.0,False,few_routes
6200,176,27,1158,1158,3.0,1.0,False,few_routes
6210,29,22,45,45,1.0,1.0,False,few_routes
6220,1632,29,11771,11771,2.0,1.0,False,few_years
6230,9,24,77,77,7.0,1.0,False,few_routes
6240,3080,36,38553,38553,12.0,1.0,True,
6260,496,28,2036,2036,2.0,1.0,False,few_routes
6270,2675,33,29595,29595,4.0,1.0,True,
6280,1659,32,14927,14927,2.0,1.0,True,
6290,1151,31,9753,9753,3.0,1.0,True,
6291,432,30,4188,4188,4.0,1.0,False,few_routes
6292,248,26,2361,2361,4.0,1.0,False,few_routes
6295,8,11,16,16,2.0,1.0,False,few_routes
6296,4,4,4,4,1.0,1.0,False,few_routes
630,36,26,167,167,2.0,1.0,False,few_routes
6300,16,26,122,122,3.0,1.0,False,few_routes
6310,1319,30,16469,16469,6.0,1.0,True,
6320,224,28,1728,1728,2.0,1.0,False,few_routes
6330,509,26,3748,3748,2.0,1.0,False,few_routes
634,42,26,77,77,3.0,1.0,False,few_routes
6340,107,26,701,701,2.0,1.0,False,few_routes
6360,1713,32,15084,15084,3.0,1.0,True,
6370,641,28,4530,4530,2.0,1.0,False,few_routes
6380,314,26,1367,1367,1.0,1.0,False,few_routes
6390,532,27,3463,3463,1.0,1.0,False,few_routes
640,197,27,710,710,2.0,1.0,False,few_routes
6410,605,28,3605,3605,1.0,1.0,False,few_routes
6412,9,8,10,10,1.0,1.0,False,few_routes
6413,2,2,2,2,1.0,1.0,False,few_routes
6420,262,28,1327,1327,2.0,1.0,False,few_routes
6430,65,26,678,678,5.5,1.0,False,few_routes
6440,140,26,1298,1298,3.0,1.0,False,few_routes
6450,1103,32,9912,9912,6.0,1.0,True,
6460,926,31,8023,8023,5.0,1.0,False,few_routes
6470,718,30,3650,3650,4.0,1.0,False,few_routes
6480,1753,31,16953,16953,3.0,1.0,True,
6490,2,8,8,8,1.0,1.0,False,few_routes
650,48,26,287,287,3.0,1.0,False,few_routes
6500,474,28,1789,1789,1.0,1.0,False,few_routes
6510,14,26,119,119,2.0,1.0,False,few_routes
6520,3396,34,36723,36723,5.0,1.0,True,
6540,643,28,5276,5276,2.0,1.0,False,few_routes
6550,1180,31,11084,11084,6.0,1.0,True,
6556,102,26,571,571,12.0,1.0,False,few_routes
6560,706,30,7595,7595,11.0,1.0,False,few_routes
6570,993,31,8459,8459,5.0,1.0,False,few_routes
6580,266,28,1568,1568,2.0,1.0,False,few_routes
6590,1156,31,12536,12536,7.0,1.0,True,
660,1,2,2,2,1.5,1.0,False,few_routes
6600,412,30,1675,1675,2.0,1.0,False,few_routes
6610,328,28,1738,1738,4.0,1.0,False,few_routes
6620,794,30,6533,6533,3.0,1.0,False,few_routes
6630,786,28,5595,5595,2.0,1.0,False,few_routes
6640,60,26,708,708,5.0,1.0,False,few_routes
6650,369,28,3171,3171,4.0,1.0,False,few_routes
6660,11,23,56,56,2.0,1.0,False,few_routes
6670,1033,31,9926,9926,4.0,1.0,True,
6680,337,30,3081,3081,7.0,1.0,False,few_routes
6685,12,26,53,53,3.0,1.0,False,few_routes
6686,4,5,5,5,1.0,1.0,False,few_routes
6690,151,28,1541,1541,8.0,1.0,False,few_routes
670,11,17,30,30,2.0,1.0,False,few_routes
6700,7,21,31,31,2.0,1.0,False,few_routes
6710,1402,31,15412,15412,5.0,1.0,True,
6720,325,30,1250,1250,2.0,1.0,False,few_routes
6730,968,30,8761,8761,2.0,1.0,False,few_routes
6740,1918,34,22895,22895,10.0,1.0,True,
6750,1193,33,8243,8243,3.0,1.0,True,
6760,844,29,5090,5090,1.0,1.0,False,few_routes
6770,877,31,7289,7289,2.0,1.0,False,few_routes
6780,204,29,898,898,2.0,1.0,False,few_routes
6790,916,32,7222,7222,3.0,1.0,False,few_routes
6800,641,30,6327,6327,4.0,1.0,False,few_routes
6810,3819,35,47511,47511,8.0,1.0,True,
6830,1740,31,18288,18288,6.0,1.0,True,
6840,893,30,9308,9308,3.0,1.0,False,few_routes
6850,1110,30,7198,7198,3.0,1.0,True,
6860,681,30,3383,3383,2.0,1.0,False,few_routes
6870,1999,32,19058,19058,4.0,1.0,True,
6880,12,26,127,127,4.0,1.0,False,few_routes
6882,3459,34,43690,43690,13.0,1.0,True,
6883,56,26,433,433,3.0,1.0,False,few_routes
690,224,27,958,958,3.0,1.0,False,few_routes
6900,14,26,173,173,4.0,1.0,False,few_routes
6960,13,26,111,111,7.0,1.0,False,few_routes
6970,50,26,179,179,2.0,1.0,False,few_routes
6990,2,2,2,2,7.0,1.0,False,few_routes
70,1039,33,6253,6253,2.0,1.0,True,
700,220,28,696,696,2.0,1.0,False,few_routes
7000,241,28,1394,1394,3.0,1.0,False,few_routes
7010,210,27,739,739,1.0,1.0,False,few_routes
7020,414,29,3893,3893,8.0,1.0,False,few_routes
7030,2412,31,31286,31286,16.0,1.0,True,
7031,1,1,1,1,4.0,1.0,False,few_routes
7040,2814,33,32030,32030,4.0,1.0,True,
7050,2565,33,30943,30943,3.0,1.0,True,
7060,42,27,335,335,2.0,1.0,False,few_routes
7070,213,27,1895,1895,2.0,1.0,False,few_routes
7080,65,26,256,256,1.0,1.0,False,few_routes
710,87,26,480,480,2.0,1.0,False,few_routes
7100,82,27,597,597,3.0,1.0,False,few_routes
7110,34,25,126,126,2.0,1.0,False,few_routes
7120,83,26,411,411,1.0,1.0,False,few_routes
7130,215,27,2320,2320,7.0,1.0,False,few_routes
7150,832,27,6670,6670,3.0,1.0,False,few_routes
7170,292,27,1497,1497,1.0,1.0,False,few_routes
7180,1690,31,23585,23585,13.0,1.0,True,
7190,768,29,6583,6583,4.0,1.0,False,few_routes
7210,2887,35,34597,34597,7.0,1.0,True,
7220,11,17,20,20,1.0,1.0,False,few_routes
7221,360,30,3493,3493,5.0,1.0,False,few_routes
7222,931,29,7724,7724,4.0,1.0,False,few_routes
7240,601,28,4533,4533,3.0,1.0,False,few_routes
7250,697,30,4240,4240,3.0,1.0,False,few_routes
7260,1164,28,6122,6122,1.0,1.0,False,few_years
7270,2490,29,25940,25940,3.0,1.0,False,few_years
7280,1849,33,16077,16077,4.0,1.0,True,
7290,476,29,4320,4320,3.0,1.0,False,few_routes
730,9,25,51,51,5.0,1.0,False,few_routes
7300,223,28,1625,1625,4.0,1.0,False,few_routes
7310,1817,32,27202,27202,12.0,1.0,True,
7315,11,26,73,73,9.0,1.0,False,few_routes
7320,94,27,1006,1006,6.0,1.0,False,few_routes
7330,128,28,1210,1210,7.0,1.0,False,few_routes
7331,170,26,1302,1302,2.0,1.0,False,few_routes
7332,3,8,8,8,1.0,1.0,False,few_routes
7340,15,26,152,152,4.0,1.0,False,few_routes
7350,2413,34,26924,26924,6.0,1.0,True,
7351,21,26,95,95,3.0,1.0,False,few_routes
7352,19,23,61,61,2.0,1.0,False,few_routes
7353,12,19,25,25,2.0,1.0,False,few_routes
7354,4,4,4,4,1.0,1.0,False,few_routes
7360,1211,31,18039,18039,7.0,1.0,True,
7370,1,7,7,7,4.0,1.0,False,few_routes
7380,571,30,6091,6091,5.0,1.0,False,few_routes
740,115,27,468,468,2.0,1.0,False,few_routes
7400,531,30,2556,2556,2.0,1.0,False,few_routes
7410,269,30,2616,2616,8.0,1.0,False,few_routes
7420,150,28,1500,1500,8.0,1.0,False,few_routes
7421,1,3,3,3,3.0,1.0,False,few_routes
7430,425,30,2663,2663,4.0,1.0,False,few_routes
7460,175,27,1770,1770,5.0,1.0,False,few_routes
7470,34,26,294,294,9.0,1.0,False,few_routes
7480,1201,30,8530,8530,3.0,1.0,True,
7490,1317,33,10946,10946,7.0,1.0,True,
7510,2044,31,21753,21753,4.0,1.0,True,
7520,109,26,941,941,4.0,1.0,False,few_routes
7530,4,8,12,12,1.5,1.0,False,few_routes
7540,537,30,3642,3642,2.0,1.0,False,few_routes
7550,1932,33,24849,24849,5.0,1.0,True,
7560,1342,34,14725,14725,6.0,1.0,True,
7570,152,27,1078,1078,6.0,1.0,False,few_routes
7571,5,13,14,14,1.0,1.0,False,few_routes
7580,1410,33,12831,12831,14.0,1.0,True,
7590,1764,34,17723,17723,6.0,1.0,True,
7610,4275,37,59493,59493,30.0,1.0,True,
7621,1,2,2,2,1.5,1.0,False,few_routes
7630,414,28,3852,3852,9.0,1.0,False,few_routes
7640,7,19,41,41,2.0,1.0,False,few_routes
7650,7,14,30,30,1.0,1.0,False,few_routes
7660,2473,30,30792,30792,5.0,1.0,True,
7670,432,28,3283,3283,3.0,1.0,False,few_routes
7680,775,31,6919,6919,4.0,1.0,False,few_routes
77,12,10,14,14,1.0,1.0,False,few_routes
770,418,32,2573,2573,5.0,1.0,False,few_routes
80,4,7,8,8,2.0,1.0,False,few_routes
800,38,27,180,180,3.0,1.0,False,few_routes
8110,1,7,7,7,4.0,1.0,False,few_routes
860,1,1,1,1,1.0,1.0,False,few_routes
90,1,1,1,1,1.0,1.0,False,few_routes
900,1,5,5,5,2.0,1.0,False,few_routes
