accepted_name,genus,family,order,guild,n_occurrences
Proscalops secundus,Proscalops,Proscalopidae,NO_ORDER_SPECIFIED,other,7
Borophagus littoralis,Borophagus,Canidae,Carnivora,predator,7
Promylagaulus riggsi,Promylagaulus,Mylagaulidae,Rodentia,herbivore,7
Protolabis gracilis,Protolabis,Camelidae,Artiodactyla,herbivore,7
Bouromeryx,Bouromeryx,Dromomerycidae,Artiodactyla,herbivore,7
Pseudaelurus validus,Pseudaelurus,Felidae,Carnivora,predator,7
Merycochoerus magnus,Merycochoerus,Merycoidodontidae,Artiodactyla,herbivore,7
Perognathus,Perognathus,Heteromyidae,Rodentia,herbivore,7
Dromomeryx,Dromomeryx,Dromomerycidae,Artiodactyla,herbivore,7
Castor californicus,Castor,Castoridae,Rodentia,herbivore,7
Cranioceras teres,Cranioceras,Dromomerycidae,Artiodactyla,herbivore,7
Cynelos sinapius,Cynelos,Amphicyonidae,Carnivora,predator,7
Merycodus minor,Merycodus,Antilocapridae,Artiodactyla,herbivore,7
Phlaocyon,Phlaocyon,Canidae,Carnivora,predator,7
Desmathyus pinensis,Desmathyus,Tayassuidae,Artiodactyla,herbivore,7
Phelosaccomys annae,Phelosaccomys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,7
Paracosoryx alticornis,Paracosoryx,Antilocapridae,Artiodactyla,herbivore,7
Phelosaccomys hibbardi,Phelosaccomys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,7
Scalopoides isodens,Scalopoides,Talpidae,NO_ORDER_SPECIFIED,other,7
Rhynchotherium blicki,Rhynchotherium,Gomphotheriidae,Proboscidea,herbivore,7
Herpetotherium youngi,Herpetotherium,Herpetotheriidae,Marsupialia,other,7
Miomustela,Miomustela,Mustelidae,Carnivora,predator,7
Schaubeumys sabrae,Schaubeumys,Zapodidae,Rodentia,herbivore,7
Tapirus johnsoni,Tapirus,Tapiridae,Perissodactyla,herbivore,7
Mionictis,Mionictis,Mustelidae,Carnivora,predator,7
Aletomeryx gracilis,Aletomeryx,Palaeomerycidae,Artiodactyla,herbivore,7
Mookomys formicarum,Mookomys,Heteromyidae,Rodentia,herbivore,7
Monosaulax pansus,Monosaulax,Castoridae,Rodentia,herbivore,7
Teleoceras brachyrhinum,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,7
Alluvisorex,Alluvisorex,Soricidae,NO_ORDER_SPECIFIED,other,7
Megahippus matthewi,Megahippus,Equidae,Perissodactyla,herbivore,7
Leptarctus wortmani,Leptarctus,Mustelidae,Carnivora,predator,7
Longirostromeryx,Longirostromeryx,Moschidae,Artiodactyla,herbivore,7
Macrogenis crassigenis,Macrogenis,Tayassuidae,Artiodactyla,herbivore,7
Anchitherium clarencei,Anchitherium,Equidae,Perissodactyla,herbivore,7
Sorex,Sorex,Soricidae,NO_ORDER_SPECIFIED,other,7
Cosoryx,Cosoryx,Antilocapridae,Artiodactyla,herbivore,7
Dinohyus,Dinohyus,Entelodontidae,Artiodactyla,herbivore,6
Perognathus brevidens,Perognathus,Heteromyidae,Rodentia,herbivore,6
Parapliosaccomys witteorum,Parapliosaccomys,Geomyidae,Rodentia,herbivore,6
Diceratherium armatum,Diceratherium,Rhinocerotidae,Perissodactyla,herbivore,6
Diprionomys parvus,Diprionomys,Heteromyidae,Rodentia,herbivore,6
Thomomys,Thomomys,Geomyidae,Rodentia,herbivore,6
Colbertchoerus niobrarensis,Colbertchoerus,Tayassuidae,Artiodactyla,herbivore,6
Hypsiops brachymelis,Hypsiops,Merycoidodontidae,Artiodactyla,herbivore,6
Merycochoerus,Merycochoerus,Merycoidodontidae,Artiodactyla,herbivore,6
Paraenhydrocyon wallovianus,Paraenhydrocyon,Canidae,Carnivora,predator,6
Texoceros altidens,Texoceros,Antilocapridae,Artiodactyla,herbivore,6
Texomys ritchiei,Texomys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,6
Citellus (Otospermophilus) shotwelli,Otospermophilus,Sciuridae,Rodentia,herbivore,6
Pseudhipparion curtivallum,Pseudhipparion,Equidae,Perissodactyla,herbivore,6
Calippus circulus,Calippus,Equidae,Perissodactyla,herbivore,6
Merychippus sejunctus,Merychippus,Equidae,Perissodactyla,herbivore,6
Merychippus californicus,Merychippus,Equidae,Perissodactyla,herbivore,6
Pseudhipparion hessei,Pseudhipparion,Equidae,Perissodactyla,herbivore,6
Gregorymys formosus,Gregorymys,Entoptychidae,Rodentia,herbivore,6
Spermophilus wilsoni,Spermophilus,Sciuridae,Rodentia,herbivore,6
Hesperogaulus gazini,Hesperogaulus,Mylagaulidae,Rodentia,herbivore,6
Hesperogaulus,Hesperogaulus,Mylagaulidae,Rodentia,herbivore,6
Scapanus shultzi,Scapanus,Talpidae,NO_ORDER_SPECIFIED,other,6
Lignimus montis,Lignimus,Entoptychidae,Rodentia,herbivore,6
Menoceras,Menoceras,Rhinocerotidae,Perissodactyla,herbivore,6
Kalobatippus agatensis,Kalobatippus,Equidae,Perissodactyla,herbivore,6
Arretotherium acridens,Arretotherium,Anthracotheriidae,Artiodactyla,herbivore,6
Lambdoceras siouxensis,Lambdoceras,Protoceratidae,Artiodactyla,herbivore,6
Sinclairomeryx riparius,Sinclairomeryx,Palaeomerycidae,Artiodactyla,herbivore,6
Moropus elatus,Moropus,Chalicotheriidae,Perissodactyla,herbivore,6
Syndyoceras cooki,Syndyoceras,Protoceratidae,Artiodactyla,herbivore,6
Skinnerhyus shermerorum,Skinnerhyus,Tayassuidae,Artiodactyla,herbivore,6
Plesiosorex coloradensis,Plesiosorex,Plesiosoricidae,NO_ORDER_SPECIFIED,other,6
Mystipterus martini,Mystipterus,Talpidae,NO_ORDER_SPECIFIED,other,6
Hexameryx simpsoni,Hexameryx,Antilocapridae,Artiodactyla,herbivore,6
Pliosaccomys,Pliosaccomys,Geomyidae,Rodentia,herbivore,6
Pliohippus nobilis,Pliohippus,Equidae,Perissodactyla,herbivore,6
Parvericius,Parvericius,Erinaceidae,NO_ORDER_SPECIFIED,other,6
Diceratherium niobrarense,Diceratherium,Rhinocerotidae,Perissodactyla,herbivore,6
Epigaulus hatcheri,Epigaulus,Mylagaulidae,Rodentia,herbivore,6
Euoplocyon brachygnathus,Euoplocyon,Canidae,Carnivora,predator,6
Hypolagus tedfordi,Hypolagus,Leporidae,Lagomorpha,herbivore,6
Pliocyon,Pliocyon,Amphicyonidae,Carnivora,predator,6
Peromyscus,Peromyscus,Cricetidae,Rodentia,herbivore,6
Petauristodon mathewsi,Petauristodon,Sciuridae,Rodentia,herbivore,6
Peromyscus antiquus,Peromyscus,Cricetidae,Rodentia,herbivore,6
Ramoceros ramosus,Ramoceros,Antilocapridae,Artiodactyla,herbivore,6
Postcopemys valensis,Postcopemys,Cricetidae,Rodentia,herbivore,6
Mioheteromys agrarius,Mioheteromys,Heteromyidae,Rodentia,herbivore,6
Cormohipparion goorisi,Cormohipparion,Equidae,Perissodactyla,herbivore,6
Cosoryx (Paracosoryx) wilsoni,Cosoryx (Paracosoryx),Antilocapridae,Artiodactyla,herbivore,6
Mioheteromys,Mioheteromys,Heteromyidae,Rodentia,herbivore,6
Hipparion,Hipparion,Equidae,Perissodactyla,herbivore,6
Metalopex merriami,Metalopex,Canidae,Carnivora,predator,6
Plioceros blicki,Plioceros,Antilocapridae,Artiodactyla,herbivore,6
Alforjas taylori,Alforjas,Camelidae,Artiodactyla,herbivore,6
Leptocyon gregorii,Leptocyon,Canidae,Carnivora,predator,6
Astrohippus,Astrohippus,Equidae,Perissodactyla,herbivore,6
Pliauchenia magnifontis,Pliauchenia,Camelidae,Artiodactyla,herbivore,6
Phelosaccomys,Phelosaccomys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,6
Osbornodon iamonensis,Osbornodon,Canidae,Carnivora,predator,6
Dinohyus hollandi,Dinohyus,Entelodontidae,Artiodactyla,herbivore,6
Palaeocastor fossor,Palaeocastor,Castoridae,Rodentia,herbivore,6
Nanotragulus,Nanotragulus,Hypertragulidae,Artiodactyla,herbivore,6
Nimravides,Nimravides,Felidae,Carnivora,predator,6
Nannippus westoni,Nannippus,Equidae,Perissodactyla,herbivore,6
Hesperolagomys galbreathi,Hesperolagomys,Ochotonidae,Lagomorpha,herbivore,6
Mesoscalops,Mesoscalops,Proscalopidae,NO_ORDER_SPECIFIED,other,6
Ceratogaulus anecdotus,Ceratogaulus,Mylagaulidae,Rodentia,herbivore,5
Alphagaulus pristinus,Alphagaulus,Mylagaulidae,Rodentia,herbivore,5
Protepicyon raki,Protepicyon,Canidae,Carnivora,predator,5
Amphicyon frendens,Amphicyon,Amphicyonidae,Carnivora,predator,5
Tregomys,Tregomys,Cricetidae,Rodentia,herbivore,5
Pronotolagus apachensis,Pronotolagus,Leporidae,Lagomorpha,herbivore,5
Florentiamys,Florentiamys,Florentiamyidae,Rodentia,herbivore,5
Paracosoryx furlongi,Paracosoryx,Antilocapridae,Artiodactyla,herbivore,5
Dyseohyus fricki,Dyseohyus,Tayassuidae,Artiodactyla,herbivore,5
Brachypsalis modicus,Brachypsalis,Mustelidae,Carnivora,predator,5
Castor,Castor,Castoridae,Rodentia,herbivore,5
Entoptychus grandiplanus,Entoptychus,Entoptychidae,Rodentia,herbivore,5
Enhydrocyon crassidens,Enhydrocyon,Canidae,Carnivora,predator,5
Pseudoceras,Pseudoceras,Gelocidae,Artiodactyla,herbivore,5
Epicyon,Epicyon,Canidae,Carnivora,predator,5
Paracynarctus sinclairi,Paracynarctus,Canidae,Carnivora,predator,5
Drepanomeryx falciformis,Drepanomeryx,Dromomerycidae,Artiodactyla,herbivore,5
Enhydritherium terraenovae,Enhydritherium,Mustelidae,Carnivora,predator,5
Domninoides mimicus,Domninoides,Talpidae,NO_ORDER_SPECIFIED,other,5
Hypolagus ringoldensis,Hypolagus,Leporidae,Lagomorpha,herbivore,5
Indarctos oregonensis,Indarctos,Ursidae,Carnivora,predator,5
Floridaceras whitei,Floridaceras,Rhinocerotidae,Perissodactyla,herbivore,5
Plithocyon,Plithocyon,Ursidae,Carnivora,predator,5
Metalopex macconnelli,Metalopex,Canidae,Carnivora,predator,5
Cynarctus voorhiesi,Cynarctus,Canidae,Carnivora,predator,5
Cynarctus galushai,Cynarctus,Canidae,Carnivora,predator,5
Mesoreodon minor,Mesoreodon,Merycoidodontidae,Artiodactyla,herbivore,5
Daphoenodon (Borocyon) niobrarensis,Daphoenodon (Borocyon),Amphicyonidae,Carnivora,predator,5
Barbouromeryx trigonocorneus,Barbouromeryx,Dromomerycidae,Artiodactyla,herbivore,5
Platygonus brachirostris,Platygonus,Tayassuidae,Artiodactyla,herbivore,5
Perognathoides tertius,Perognathoides,Heteromyidae,Rodentia,herbivore,5
Notogaulus minor,Notogaulus,Mylagaulidae,Rodentia,herbivore,5
Petauristodon jamesi,Petauristodon,Sciuridae,Rodentia,herbivore,5
Palaeocastor,Palaeocastor,Castoridae,Rodentia,herbivore,5
Balantiomys oregonensis,Balantiomys,Heteromyidae,Rodentia,herbivore,5
Nothotylopus,Nothotylopus,Camelidae,Artiodactyla,herbivore,5
Nothodipoides stirtoni,Nothodipoides,Castoridae,Rodentia,herbivore,5
Cuyamalagus dawsoni,Cuyamalagus,Ochotonidae,Lagomorpha,herbivore,5
Phlaocyon marslandensis,Phlaocyon,Canidae,Carnivora,predator,5
Pliauchenia,Pliauchenia,Camelidae,Artiodactyla,herbivore,5
Plesiogulo lindsayi,Plesiogulo,Mustelidae,Carnivora,predator,5
Desmatolagus schizopetrus,Desmatolagus,Leporidae,Lagomorpha,herbivore,5
Desmatippus,Desmatippus,Equidae,Perissodactyla,herbivore,5
Herpetotherium,Herpetotherium,Herpetotheriidae,Marsupialia,other,5
Pliosaccomys magnus,Pliosaccomys,Geomyidae,Rodentia,herbivore,5
Pliozapus solus,Pliozapus,Zapodidae,Rodentia,herbivore,5
Stratimus strobeli,Stratimus,Heteromyidae,Rodentia,herbivore,5
Moropus merriami,Moropus,Chalicotheriidae,Perissodactyla,herbivore,5
Tanymykter brachyodontus,Tanymykter,Camelidae,Artiodactyla,herbivore,5
Aepycamelus alexandrae,Aepycamelus,Camelidae,Artiodactyla,herbivore,5
Tomarctus,Tomarctus,Canidae,Carnivora,predator,5
Scalopoides ripafodiator,Scalopoides,Talpidae,NO_ORDER_SPECIFIED,other,5
Schaubeumys galbreathi,Schaubeumys,Zapodidae,Rodentia,herbivore,5
Harrymys irvini,Harrymys,Heteromyidae,Rodentia,herbivore,5
Gregorymys riggsi,Gregorymys,Entoptychidae,Rodentia,herbivore,5
Scapanus,Scapanus,Talpidae,NO_ORDER_SPECIFIED,other,5
Mookomys,Mookomys,Heteromyidae,Rodentia,herbivore,5
Hesperhys,Hesperhys,Tayassuidae,Artiodactyla,herbivore,5
Stenomylus,Stenomylus,Camelidae,Artiodactyla,herbivore,5
Hypohippus pertinax,Hypohippus,Equidae,Perissodactyla,herbivore,5
Pseudaelurus marshi,Pseudaelurus,Felidae,Carnivora,predator,5
Hypolagus edensis,Hypolagus,Leporidae,Lagomorpha,herbivore,5
Pseudhipparion simpsoni,Pseudhipparion,Equidae,Perissodactyla,herbivore,5
Lignimus,Lignimus,Entoptychidae,Rodentia,herbivore,5
Leptodontomys stirtoni,Leptodontomys,Eomyidae,Rodentia,herbivore,5
Sthenictis dolichops,Sthenictis,Mustelidae,Carnivora,predator,5
Megatylopus primaevus,Megatylopus,Camelidae,Artiodactyla,herbivore,5
Yatkolamys,Yatkolamys,Cricetidae,Rodentia,herbivore,5
Liodontia alexandrae,Liodontia,Aplodontiidae,Rodentia,herbivore,5
Lanthanotherium,Lanthanotherium,Erinaceidae,NO_ORDER_SPECIFIED,other,5
Leptarctus ancipidens,Leptarctus,Mustelidae,Carnivora,predator,5
Pseudotrimylus mawbyi,Pseudotrimylus,Soricidae,NO_ORDER_SPECIFIED,other,5
Vulpes,Vulpes,Canidae,Carnivora,predator,5
Yumaceras figginsi,Yumaceras,Dromomerycidae,Artiodactyla,herbivore,5
Macrogenis,Macrogenis,Tayassuidae,Artiodactyla,herbivore,5
Teleoceras guymonense,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,4
Leptocyon vulpinus,Leptocyon,Canidae,Carnivora,predator,4
Machairodus catocopis,Machairodus,Felidae,Carnivora,predator,4
Macrognathomys,Macrognathomys,Zapodidae,Rodentia,herbivore,4
Arretotherium fricki,Arretotherium,Anthracotheriidae,Artiodactyla,herbivore,4
Arctonasua,Arctonasua,Procyonidae,Carnivora,predator,4
Archaeohippus stenolophus,Archaeohippus,Equidae,Perissodactyla,herbivore,4
Megasminthus gladiofex,Megasminthus,Zapodidae,Rodentia,herbivore,4
Lepoides lepoides,Lepoides,Leporidae,Lagomorpha,herbivore,4
Jimomys labaughi,Jimomys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,4
Martinogale alveodens,Martinogale,Mephitidae,Carnivora,predator,4
Marshochoerus socialis,Marshochoerus,Tayassuidae,Artiodactyla,herbivore,4
Limnoecus compressus,Limnoecus,Soricidae,NO_ORDER_SPECIFIED,other,4
Psalidocyon marianae,Psalidocyon,Canidae,Carnivora,predator,4
Merriamoceros coronatus,Merriamoceros,Antilocapridae,Artiodactyla,herbivore,4
Antrozous,Antrozous,Vespertilionidae,Chiroptera,other,4
Anchitherium navasotae,Anchitherium,Equidae,Perissodactyla,herbivore,4
Amphicyon longiramus,Amphicyon,Amphicyonidae,Carnivora,predator,4
Tardontia,Tardontia,Aplodontiidae,Rodentia,herbivore,4
Tanymykter,Tanymykter,Camelidae,Artiodactyla,herbivore,4
Aepycamelus major,Aepycamelus,Camelidae,Artiodactyla,herbivore,4
Alluvisorex chasseae,Alluvisorex,Soricidae,NO_ORDER_SPECIFIED,other,4
Alwoodia,Alwoodia,Aplodontiidae,Rodentia,herbivore,4
Moropus oregonensis,Moropus,Chalicotheriidae,Perissodactyla,herbivore,4
Archaeolagus macrocephalus,Archaeolagus,Leporidae,Lagomorpha,herbivore,4
Archaeolagus primigenius,Archaeolagus,Leporidae,Lagomorpha,herbivore,4
Spermophilus tephrus,Spermophilus,Sciuridae,Rodentia,herbivore,4
Spermophilus (Otospermophilus) cyanocittus,Otospermophilus,Sciuridae,Rodentia,herbivore,4
Serbelodon burnhami,Serbelodon,Gomphotheriidae,Proboscidea,herbivore,4
Mionictis pristinus,Mionictis,Mustelidae,Carnivora,predator,4
Miomustela madisonae,Miomustela,Mustelidae,Carnivora,predator,4
Michenia agatensis,Michenia,Camelidae,Artiodactyla,herbivore,4
Michenia exilis,Michenia,Camelidae,Artiodactyla,herbivore,4
Craterogale simus,Craterogale,Mustelidae,Carnivora,predator,4
Pliotaxidea garberi,Pliotaxidea,Mustelidae,Carnivora,predator,4
Pliotaxidea,Pliotaxidea,Mustelidae,Carnivora,predator,4
Pliometanastes,Pliometanastes,Megalonychidae,Xenarthra,herbivore,4
Cynarctoides luskensis,Cynarctoides,Canidae,Carnivora,predator,4
Cynarctus,Cynarctus,Canidae,Carnivora,predator,4
Hesperolagomys,Hesperolagomys,Ochotonidae,Lagomorpha,herbivore,4
Gregorymys,Gregorymys,Entoptychidae,Rodentia,herbivore,4
Gregorymys curtus,Gregorymys,Entoptychidae,Rodentia,herbivore,4
Neotoma (Paraneotoma) sawrockensis,Neotoma (Paraneotoma),Cricetidae,Rodentia,herbivore,4
Neotragocerus,Neotragocerus,Bovidae,Artiodactyla,herbivore,4
Nexuotapirus marslandensis,Nexuotapirus,Tapiridae,Perissodactyla,herbivore,4
Neotamias malloryi,Neotamias,Sciuridae,Rodentia,herbivore,4
Nannippus morgani,Nannippus,Equidae,Perissodactyla,herbivore,4
Pliohippus fossulatus,Pliohippus,Equidae,Perissodactyla,herbivore,4
Plesiosminthus grangeri,Plesiosminthus,Zapodidae,Rodentia,herbivore,4
Desmatippus texanus,Desmatippus,Equidae,Perissodactyla,herbivore,4
Desmatippus tyleri,Desmatippus,Equidae,Perissodactyla,herbivore,4
Daphoenodon superbus,Daphoenodon,Amphicyonidae,Carnivora,predator,4
Daphoenodon falkenbachi,Daphoenodon,Amphicyonidae,Carnivora,predator,4
Mylagaulus laevis,Mylagaulus,Mylagaulidae,Rodentia,herbivore,4
Parablastomeryx,Parablastomeryx,Moschidae,Artiodactyla,herbivore,4
Parablastomeryx gregorii,Parablastomeryx,Moschidae,Artiodactyla,herbivore,4
Platygonus,Platygonus,Tayassuidae,Artiodactyla,herbivore,4
Perognathoides eurekensis,Perognathoides,Heteromyidae,Rodentia,herbivore,4
Barbourofelis morrisi,Barbourofelis,Nimravidae,Carnivora,predator,4
Repomys gustelyi,Repomys,Cricetidae,Rodentia,herbivore,4
Oxydactylus longipes,Oxydactylus,Camelidae,Artiodactyla,herbivore,4
Otospermophilus,Otospermophilus,Sciuridae,Rodentia,herbivore,4
Oregonomys pebblespringsensis,Oregonomys,Heteromyidae,Rodentia,herbivore,4
Oligobunis,Oligobunis,Mustelidae,Carnivora,predator,4
Notolagus velox,Notolagus,Leporidae,Lagomorpha,herbivore,4
Peridiomys rusticus,Peridiomys,Heteromyidae,Rodentia,herbivore,4
Paratoceras coatesi,Paratoceras,Protoceratidae,Artiodactyla,herbivore,4
Paramicrotoscoptes hibbardi,Paramicrotoscoptes,Cricetidae,Rodentia,herbivore,4
Parahippus coloradensis,Parahippus,Equidae,Perissodactyla,herbivore,4
Eubelodon morrilli,Eubelodon,Gomphotheriidae,Proboscidea,herbivore,4
Eucastor malheurensis,Eucastor,Castoridae,Rodentia,herbivore,4
Hystricops venustus,Hystricops,Castoridae,Rodentia,herbivore,4
Hypolagus gidleyi,Hypolagus,Leporidae,Lagomorpha,herbivore,4
Catagonus,Catagonus,Tayassuidae,Artiodactyla,herbivore,4
Proheteromys floridanus,Proheteromys,Heteromyidae,Rodentia,herbivore,4
Prodipoides lecontei,Prodipoides,Castoridae,Rodentia,herbivore,4
Prodipodomys,Prodipodomys,Heteromyidae,Rodentia,herbivore,4
Calippus elachistus,Calippus,Equidae,Perissodactyla,herbivore,4
Brachypsalis pachycephalus,Brachypsalis,Mustelidae,Carnivora,predator,4
Protosciurus,Protosciurus,Sciuridae,Rodentia,herbivore,4
Protospermophilus angusticeps,Protospermophilus,Sciuridae,Rodentia,herbivore,4
Temperocastor valentinensis,Temperocastor,Castoridae,Rodentia,herbivore,4
Texoceros guymonensis,Texoceros,Antilocapridae,Artiodactyla,herbivore,4
Alilepus,Alilepus,Leporidae,Lagomorpha,herbivore,4
Kalobatippus,Kalobatippus,Equidae,Perissodactyla,herbivore,3
Miohippus,Miohippus,Equidae,Perissodactyla,herbivore,3
Ursavus primaevus,Ursavus,Ursidae,Carnivora,predator,3
Ursavus pawniensis,Ursavus,Ursidae,Carnivora,predator,3
Megacamelus merriami,Megacamelus,Camelidae,Artiodactyla,herbivore,3
Hesperogaulus wilsoni,Hesperogaulus,Mylagaulidae,Rodentia,herbivore,3
Cormocyon haydeni,Cormocyon,Canidae,Carnivora,predator,3
Moropus hollandi,Moropus,Chalicotheriidae,Perissodactyla,herbivore,3
Submerycochoerus bannackensis,Submerycochoerus,Merycoidodontidae,Artiodactyla,herbivore,3
Ceratogaulus,Ceratogaulus,Mylagaulidae,Rodentia,herbivore,3
Dipoides vallicula,Dipoides,Castoridae,Rodentia,herbivore,3
Paronychomys woodburnei,Paronychomys,Cricetidae,Rodentia,herbivore,3
Dipoides williamsi,Dipoides,Castoridae,Rodentia,herbivore,3
Sanctimus,Sanctimus,Florentiamyidae,Rodentia,herbivore,3
Hypolagus oregonensis,Hypolagus,Leporidae,Lagomorpha,herbivore,3
Desmatochoerus curvidens,Desmatochoerus,Merycoidodontidae,Artiodactyla,herbivore,3
Nothokemas floridanus,Nothokemas,Camelidae,Artiodactyla,herbivore,3
Metaxytherium floridanum,Metaxytherium,Dugongidae,Sirenia,other,3
Copemys pisinnus,Copemys,Cricetidae,Rodentia,herbivore,3
Scalopus,Scalopus,Talpidae,NO_ORDER_SPECIFIED,other,3
Oreolagus,Oreolagus,Ochotonidae,Lagomorpha,herbivore,3
Miolabis fissidens,Miolabis,Camelidae,Artiodactyla,herbivore,3
Machairodus lahayishupup,Machairodus,Felidae,Carnivora,predator,3
Oxydactylus benedentatus,Oxydactylus,Camelidae,Artiodactyla,herbivore,3
Ticholeptus calimontanus,Ticholeptus,Merycoidodontidae,Artiodactyla,herbivore,3
Pterogaulus barbarellae,Pterogaulus,Mylagaulidae,Rodentia,herbivore,3
Osbornodon scitulus,Osbornodon,Canidae,Carnivora,predator,3
Paenemarmota sawrockensis,Paenemarmota,Sciuridae,Rodentia,herbivore,3
Tylocephalonyx,Tylocephalonyx,Chalicotheriidae,Perissodactyla,herbivore,3
Paratoceras wardi,Paratoceras,Protoceratidae,Artiodactyla,herbivore,3
Pseudotheridomys pagei,Pseudotheridomys,Eomyidae,Rodentia,herbivore,3
Paciculus nebraskensis,Paciculus,Cricetidae,Rodentia,herbivore,3
Paratylopus,Paratylopus,Camelidae,Artiodactyla,herbivore,3
Mylagaulus,Mylagaulus,Mylagaulidae,Rodentia,herbivore,3
Kansasimys dubius,Kansasimys,Eomyidae,Rodentia,herbivore,3
Cormohipparion matthewi,Cormohipparion,Equidae,Perissodactyla,herbivore,3
Citellus (Otospermophilus) argonautus,Otospermophilus,Sciuridae,Rodentia,herbivore,3
Gaillardia thomsoni,Gaillardia,Talpidae,NO_ORDER_SPECIFIED,other,3
Stenomylus hitchcocki,Stenomylus,Camelidae,Artiodactyla,herbivore,3
Petauristodon minimus,Petauristodon,Sciuridae,Rodentia,herbivore,3
Floridameryx floridanus,Floridameryx,Gelocidae,Artiodactyla,herbivore,3
Parapliosaccomys oregonensis,Parapliosaccomys,Geomyidae,Rodentia,herbivore,3
Anouroneomys magnus,Crusafontina,Soricidae,NO_ORDER_SPECIFIED,other,3
Pseudopalaeocastor barbouri,Pseudopalaeocastor,Castoridae,Rodentia,herbivore,3
Anchitherium,Anchitherium,Equidae,Perissodactyla,herbivore,3
Neotragocerus improvisus,Neotragocerus,Bovidae,Artiodactyla,herbivore,3
Hitonkala macdonaldtau,Hitonkala,Florentiamyidae,Rodentia,herbivore,3
Honeymys mariae,Honeymys,Cricetidae,Rodentia,herbivore,3
Delotrochanter oryktes,Delotrochanter,Amphicyonidae,Carnivora,predator,3
Hesperolagomys niobrarensis,Hesperolagomys,Ochotonidae,Lagomorpha,herbivore,3
Daphoenodon notionastes,Daphoenodon,Amphicyonidae,Carnivora,predator,3
Basirepomys pliocenicus,Basirepomys,Cricetidae,Rodentia,herbivore,3
Blastomeryx gemmifer valentinensis,Blastomeryx,Moschidae,Artiodactyla,herbivore,3
Archaeolagus buangulus,Archaeolagus,Leporidae,Lagomorpha,herbivore,3
Russellagus,Russellagus,Ochotonidae,Lagomorpha,herbivore,3
Taxidea mexicana,Taxidea,Mustelidae,Carnivora,predator,3
Taxidea,Taxidea,Mustelidae,Carnivora,predator,3
Tardontia occidentale,Tardontia,Aplodontiidae,Rodentia,herbivore,3
Notogaulus major,Notogaulus,Mylagaulidae,Rodentia,herbivore,3
Pseudoparablastomeryx francescita,Pseudoparablastomeryx,Leptomerycidae,Artiodactyla,herbivore,3
Rhynchotherium falconeri,Rhynchotherium,Gomphotheriidae,Proboscidea,herbivore,3
Citellus (Otospermophilus) matthewi,Otospermophilus,Sciuridae,Rodentia,herbivore,3
Barbourofelis,Barbourofelis,Nimravidae,Carnivora,predator,3
Merychyus verrucomalus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,3
Conepatus sanmiguelensis,Conepatus,Mephitidae,Carnivora,predator,3
Borophagus parvus,Borophagus,Canidae,Carnivora,predator,3
Ochotona spanglei,Ochotona,Ochotonidae,Lagomorpha,herbivore,3
Brachycrus rusticus,Brachycrus,Merycoidodontidae,Artiodactyla,herbivore,3
Petauristodon uphami,Petauristodon,Sciuridae,Rodentia,herbivore,3
Merychippus calamarius,Merychippus,Equidae,Perissodactyla,herbivore,3
Merychippus republicanus,Merychippus,Equidae,Perissodactyla,herbivore,3
Canis,Canis,Canidae,Carnivora,predator,3
Texomys,Texomys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,3
Paraenhydrocyon josephi,Paraenhydrocyon,Canidae,Carnivora,predator,3
Paracryptotis,Paracryptotis,Soricidae,NO_ORDER_SPECIFIED,other,3
Paracosoryx wilsoni,Paracosoryx,Antilocapridae,Artiodactyla,herbivore,3
Thinobadistes wetzeli,Thinobadistes,Mylodontidae,Xenarthra,herbivore,3
Cranioceras,Cranioceras,Dromomerycidae,Artiodactyla,herbivore,3
Neohipparion gidleyi,Neohipparion,Equidae,Perissodactyla,herbivore,3
Teleoceras proterum,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,3
Carpocyon,Carpocyon,Canidae,Carnivora,predator,3
Pliogeomys,Pliogeomys,Geomyidae,Rodentia,herbivore,3
Zodiolestes,Zodiolestes,Mustelidae,Carnivora,predator,3
Tregomys shotwelli,Tregomys,Cricetidae,Rodentia,herbivore,3
Miotapirus harrisonensis,Miotapirus,Tapiridae,Perissodactyla,herbivore,3
Sorex edwardsi,Sorex,Soricidae,NO_ORDER_SPECIFIED,other,3
Pliogale furlongi,Pliogale,Mephitidae,Carnivora,predator,3
Paracosoryx nevadensis,Paracosoryx,Antilocapridae,Artiodactyla,herbivore,3
Mojavemys alexandrae,Mojavemys,NO_FAMILY_SPECIFIED,Rodentia,herbivore,3
Ectopocynus simplicidens,Ectopocynus,Canidae,Carnivora,predator,3
Adelphailurus kansensis,Adelphailurus,Felidae,Carnivora,predator,3
Adilophontes brachykolos,Adilophontes,Amphicyonidae,Carnivora,predator,3
Cormohipparion merriami,Cormohipparion,Equidae,Perissodactyla,herbivore,3
Promimomys mimus,Promimomys,Cricetidae,Rodentia,herbivore,3
