clade,fine_scheme,coarse_scheme,fine_bin,coarse_bin,metric,fine_value,coarse_value,bias_time
Brachiopoda,stage,stage2,Emsian,Emsian+Eifelian,beta_jaccard,0.9588125530182289,0.959498317724883,0.0006857647066541572
Brachiopoda,stage,stage2,Emsian,Emsian+Eifelian,sorensen,0.9315807921729756,0.9314379680975089,-0.00014282407546672982
Brachiopoda,stage,stage2,Emsian,Emsian+Eifelian,turnover,0.8439906807237716,0.8412718341222666,-0.0027188466015050095
Brachiopoda,stage,stage2,Emsian,Emsian+Eifelian,nestedness,0.08759011144920399,0.0901661339752425,0.0025760225260385017
Brachiopoda,stage,stage2,Emsian,Emsian+Eifelian,decay_slope,5.389846316089725e-06,5.206069666798255e-06,-1.8377664929147011e-07
Brachiopoda,stage,stage2,Eifelian,Emsian+Eifelian,beta_jaccard,0.9615786651362304,0.959498317724883,-0.0020803474113473275
Brachiopoda,stage,stage2,Eifelian,Emsian+Eifelian,sorensen,0.9312780425676166,0.9314379680975089,0.0001599255298923019
Brachiopoda,stage,stage2,Eifelian,Emsian+Eifelian,turnover,0.8362253726535047,0.8412718341222666,0.005046461468761865
Brachiopoda,stage,stage2,Eifelian,Emsian+Eifelian,nestedness,0.09505266991411192,0.0901661339752425,-0.004886535938869424
Brachiopoda,stage,stage2,Eifelian,Emsian+Eifelian,decay_slope,3.350438561896473e-06,5.206069666798255e-06,1.8556311049017816e-06
Brachiopoda,stage,stage2,Givetian,Givetian+Frasnian,beta_jaccard,0.9381233948270705,0.9439434965379734,0.0058201017109028585
Brachiopoda,stage,stage2,Givetian,Givetian+Frasnian,sorensen,0.8947227166612889,0.9032567370903203,0.008534020429031397
Brachiopoda,stage,stage2,Givetian,Givetian+Frasnian,turnover,0.759179127918812,0.7505722262131307,-0.008606901705681347
Brachiopoda,stage,stage2,Givetian,Givetian+Frasnian,nestedness,0.13554358874247682,0.15268451087718943,0.017140922134712605
Brachiopoda,stage,stage2,Givetian,Givetian+Frasnian,decay_slope,3.917944030166378e-06,3.8711760875322e-06,-4.6767942634177896e-08
Brachiopoda,stage,stage2,Frasnian,Givetian+Frasnian,beta_jaccard,0.9221228311759643,0.9439434965379734,0.021820665362009106
Brachiopoda,stage,stage2,Frasnian,Givetian+Frasnian,sorensen,0.8668215305198602,0.9032567370903203,0.036435206570460066
Brachiopoda,stage,stage2,Frasnian,Givetian+Frasnian,turnover,0.6931552362751429,0.7505722262131307,0.05741698993798783
Brachiopoda,stage,stage2,Frasnian,Givetian+Frasnian,nestedness,0.17366629424471733,0.15268451087718943,-0.0209817833675279
Brachiopoda,stage,stage2,Frasnian,Givetian+Frasnian,decay_slope,3.8022382720307203e-06,3.8711760875322e-06,6.893781550147945e-08
Brachiopoda,stage,stage2,Famennian,Famennian+Tournaisian,beta_jaccard,0.9384300182982063,0.9488663277573923,0.010436309459186055
Brachiopoda,stage,stage2,Famennian,Famennian+Tournaisian,sorensen,0.892615951275089,0.9110697394547116,0.01845378817962262
Brachiopoda,stage,stage2,Famennian,Famennian+Tournaisian,turnover,0.7914315603704609,0.7932990325248399,0.0018674721543789907
Brachiopoda,stage,stage2,Famennian,Famennian+Tournaisian,nestedness,0.10118439090462808,0.11777070692987172,0.016586316025243644
Brachiopoda,stage,stage2,Famennian,Famennian+Tournaisian,decay_slope,3.6363287836044822e-06,1.9103292188190297e-06,-1.7259995647854526e-06
Brachiopoda,stage,stage2,Asselian,Asselian+Sakmarian,beta_jaccard,0.9661442227243067,0.9540741920063578,-0.012070030717948876
Brachiopoda,stage,stage2,Asselian,Asselian+Sakmarian,sorensen,0.9395585239282248,0.9183677551975709,-0.021190768730653953
Brachiopoda,stage,stage2,Asselian,Asselian+Sakmarian,turnover,0.8422826876546259,0.8162206410621267,-0.02606204659249922
Brachiopoda,stage,stage2,Asselian,Asselian+Sakmarian,nestedness,0.09727583627359877,0.10214711413544404,0.004871277861845269
Brachiopoda,stage,stage2,Asselian,Asselian+Sakmarian,decay_slope,1.487035274824732e-06,3.58880254110028e-06,2.101767266275548e-06
Brachiopoda,stage,stage2,Sakmarian,Asselian+Sakmarian,beta_jaccard,0.9548373738820056,0.9540741920063578,-0.0007631818756478337
Brachiopoda,stage,stage2,Sakmarian,Asselian+Sakmarian,sorensen,0.9196166711045317,0.9183677551975709,-0.0012489159069608569
Brachiopoda,stage,stage2,Sakmarian,Asselian+Sakmarian,turnover,0.8413729906274835,0.8162206410621267,-0.025152349565356835
Brachiopoda,stage,stage2,Sakmarian,Asselian+Sakmarian,nestedness,0.07824368047704845,0.10214711413544404,0.02390343365839559
Brachiopoda,stage,stage2,Sakmarian,Asselian+Sakmarian,decay_slope,4.6543662289550125e-06,3.58880254110028e-06,-1.0655636878547326e-06
Brachiopoda,stage,stage2,Stage 3,Stage 3+Stage 4,beta_jaccard,0.9620590203856714,0.9557314295034942,-0.006327590882177159
Brachiopoda,stage,stage2,Stage 3,Stage 3+Stage 4,sorensen,0.9377511214274278,0.9245275899735721,-0.013223531453855686
Brachiopoda,stage,stage2,Stage 3,Stage 3+Stage 4,turnover,0.8613239717930183,0.8433734780946321,-0.017950493698386194
Brachiopoda,stage,stage2,Stage 3,Stage 3+Stage 4,nestedness,0.07642714963440936,0.08115411187893974,0.004726962244530383
Brachiopoda,stage,stage2,Stage 3,Stage 3+Stage 4,decay_slope,3.834826602977937e-06,2.713918155512346e-06,-1.1209084474655907e-06
Brachiopoda,stage,stage2,Paibian,Guzhangian+Paibian,beta_jaccard,0.9419625421223167,0.941668979425985,-0.00029356269633162846
Brachiopoda,stage,stage2,Paibian,Guzhangian+Paibian,sorensen,0.9166063146315248,0.9140303856861227,-0.0025759289454020395
Brachiopoda,stage,stage2,Paibian,Guzhangian+Paibian,turnover,0.8730158730158729,0.8576522401308725,-0.015363632885000422
Brachiopoda,stage,stage2,Paibian,Guzhangian+Paibian,nestedness,0.0435904416156517,0.056378145555250066,0.012787703939598369
Brachiopoda,stage,stage2,Paibian,Guzhangian+Paibian,decay_slope,6.274852677460854e-06,5.216977620958905e-06,-1.057875056501949e-06
Brachiopoda,stage,stage2,Changhsingian,Changhsingian,beta_jaccard,0.936967865262358,0.936967865262358,0.0
Brachiopoda,stage,stage2,Changhsingian,Changhsingian,sorensen,0.892240917339862,0.892240917339862,0.0
Brachiopoda,stage,stage2,Changhsingian,Changhsingian,turnover,0.7432752328590732,0.7432752328590732,0.0
Brachiopoda,stage,stage2,Changhsingian,Changhsingian,nestedness,0.14896568448078878,0.14896568448078878,0.0
Brachiopoda,stage,stage2,Changhsingian,Changhsingian,decay_slope,1.1140624156437214e-05,1.1140624156437214e-05,0.0
Brachiopoda,stage,stage2,Wuliuan,Wuliuan+Drumian,beta_jaccard,0.9440807612273365,0.9370064465005724,-0.007074314726764119
Brachiopoda,stage,stage2,Wuliuan,Wuliuan+Drumian,sorensen,0.9195723980684166,0.8987262709517244,-0.020846127116692204
Brachiopoda,stage,stage2,Wuliuan,Wuliuan+Drumian,turnover,0.8520458342826766,0.7839244257426076,-0.06812140854006898
Brachiopoda,stage,stage2,Wuliuan,Wuliuan+Drumian,nestedness,0.06752656378574012,0.11480184520911689,0.04727528142337677
Brachiopoda,stage,stage2,Wuliuan,Wuliuan+Drumian,decay_slope,1.802891889996542e-06,3.5229580241383613e-06,1.7200661341418194e-06
Brachiopoda,stage,stage2,Guzhangian,Guzhangian+Paibian,beta_jaccard,0.933862433862434,0.941668979425985,0.007806545563551093
Brachiopoda,stage,stage2,Guzhangian,Guzhangian+Paibian,sorensen,0.8948743386243387,0.9140303856861227,0.019156047061783976
Brachiopoda,stage,stage2,Guzhangian,Guzhangian+Paibian,turnover,0.826388888888889,0.8576522401308725,0.03126335124198354
Brachiopoda,stage,stage2,Guzhangian,Guzhangian+Paibian,nestedness,0.06848544973544973,0.056378145555250066,-0.012107304180199667
Brachiopoda,stage,stage2,Guzhangian,Guzhangian+Paibian,decay_slope,-4.299933543075367e-06,5.216977620958905e-06,9.516911164034272e-06
Brachiopoda,stage,stage2,Kungurian,Artinskian+Kungurian,beta_jaccard,0.9686083807015488,0.9590513282199232,-0.009557052481625528
Brachiopoda,stage,stage2,Kungurian,Artinskian+Kungurian,sorensen,0.943196409634423,0.926211797714183,-0.016984611920239923
Brachiopoda,stage,stage2,Kungurian,Artinskian+Kungurian,turnover,0.850504587917212,0.8334224545926009,-0.01708213332461106
