pop1,pop2,region1,region2,continent1,continent2,dataset1,dataset2,n1,n2,nean_corr,deni_corr,nean_spearman,deni_spearman,nean_cosine,deni_cosine,nean_full_corr,deni_full_corr,nean_jaccard,deni_jaccard,nean_nonzero_union_bins,deni_nonzero_union_bins,geo_dist_km,same_dataset,same_continent,any_admixed,max_admix_eur
Miao,Sindhi,EAST_ASIA,CENTRAL_SOUTH_ASIA,EAS,SAS,HGDP,HGDP,10,24,0.40675075566491564,0.0955430506991344,0.27424376693437047,-0.35961288524682916,0.653931736946106,0.366250216960907,0.5429525959241132,0.3294842389556642,0.5094674556213018,0.17011278195488722,3380,1064,4037.1862124442714,1,0,0,0.0
Miao,Surui,EAST_ASIA,AMERICA,EAS,AMR,HGDP,HGDP,10,8,0.34815640280615423,0.06571048413727498,0.22453891809835536,-0.05235398848408694,0.62638258934021,0.3635095953941345,0.5547279308758325,0.3465506045716554,0.42863636363636365,0.2080808080808081,2200,495,17950.97175195373,1,0,0,0.0
Miao,TSI,EAST_ASIA,EUROPE,EAS,EUR,HGDP,1000 Genomes,10,107,0.23338308180999986,0.08175640094771383,0.10794061126890912,-0.40408890449241264,0.5177609920501709,0.31139039993286133,0.3711076035149896,0.28438015364318014,0.4607329842931937,0.18327605956471935,3629,873,8577.658575346404,0,0,0,0.0
Miao,Tu,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,10,10,0.7915772887995832,0.5068030098691589,0.6837276645029806,0.1971902288854584,0.8947997093200684,0.723273754119873,0.8662023074988376,0.7094556306090333,0.7024527543224769,0.4752,2487,625,1245.6557508961214,1,1,0,0.0
Miao,Tujia,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,10,9,0.8150313709219243,0.5658055182504962,0.7077453568219524,0.2495833483482077,0.9110044240951538,0.7518627643585205,0.8878368234242643,0.7400472128621821,0.7348451809856084,0.45662847790507366,2293,611,222.38985328911747,1,1,0,0.0
Miao,Tuscan,EAST_ASIA,EUROPE,EAS,EUR,HGDP,HGDP,10,8,0.09017979494877693,-0.06453700808046631,-0.12263693281130947,-0.4380674337201604,0.4720364809036255,0.28339430689811707,0.33139436787942134,0.2603191708559596,0.38032559750606165,0.13097345132743363,2887,565,8565.14387772328,1,0,0,0.0
Miao,Uygur,EAST_ASIA,CENTRAL_SOUTH_ASIA,EAS,SAS,HGDP,HGDP,10,10,0.6432943817749196,0.3992466081812811,0.483518535482629,-0.03907971932132493,0.807288408279419,0.6354737281799316,0.7502760196086133,0.6181658538772989,0.5938043856595893,0.3433734939759036,2873,664,3072.0035999823913,1,0,0,0.0
Miao,Xibo,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,10,9,0.7771268206414033,0.5396114725782111,0.6602482599495785,0.15257631664878057,0.8888335824012756,0.7359552979469299,0.8589551767845424,0.7236374781177008,0.6882956878850103,0.4418604651162791,2435,602,3135.991517239122,1,1,0,0.0
Miao,Yakut,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,10,25,0.7619170365091026,0.5155582615291687,0.6542295204744094,0.15856429315455572,0.8666567206382751,0.6901540160179138,0.8296125767361938,0.6755792699950554,0.6244296244296245,0.3997214484679666,2849,718,4190.537283565271,1,1,0,0.0
Miao,Yi,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,10,10,0.7852619295223034,0.5139298385760146,0.6726544433597431,0.23232316831336092,0.8950283527374268,0.7159615755081177,0.8669709575648441,0.7014565482719183,0.7257046697517879,0.4325925925925926,2377,675,693.4388346226402,1,1,0,0.0
Mongolian,Mozabite,EAST_ASIA,MIDDLE_EAST,EAS,WAS,HGDP,HGDP,9,27,0.1235530512819405,-0.0433839731430742,-0.051049464219977254,-0.5483679953019592,0.479292631149292,0.2708459496498108,0.33622260971857587,0.24664332693199395,0.44360902255639095,0.12578616352201258,3059,636,8327.649556110051,1,0,0,0.0
Mongolian,Naxi,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,9,8,0.7685509868930912,0.404572007843862,0.6671149222170885,0.07709977005951553,0.8873652815818787,0.6717379689216614,0.8563811287168829,0.6549129169120068,0.681123502684841,0.42012779552715657,2421,626,2306.791736323918,1,1,0,0.0
Mongolian,NorthernHan,EAST_ASIA,EAST_ASIA,EAS,EAS,HGDP,HGDP,9,10,0.8045743350005645,0.550253090161197,0.7036635568745392,0.2390386846137598,0.9037306308746338,0.7523128986358643,0.8776029510603365,0.739905181902663,0.7141089108910891,0.47875816993464054,2424,612,1093.5020985509057,1,1,0,0.0
Mongolian,Orcadian,EAST_ASIA,EUROPE,EAS,EUR,HGDP,HGDP,9,15,0.19664901415537495,0.038920149217522126,0.01217349923734712,-0.41079631909374875,0.5430417656898499,0.36063510179519653,0.40620355490022253,0.338243459994531,0.4675324675324675,0.17,3080,600,6621.880369627893,1,0,0,0.0
