collection_no,collection_name,lng,lat,systems_tract,n_occurrences,n_genera,n_herbivore,n_predator
75453,"Zane Quarry, Sheep Creek",-105.85611,42.196388,6.0,4,4,4,0
84308,Section 19 Mine (stope 4303),-107.831299,35.428398,2.0,1,1,0,1
92360,"George's ""Coelurosaur"" Site, FPA",-108.770508,39.148617,4.0,1,1,1,0
96826,"Jensen/Jensen Quarry, DNM",-109.223335,40.405556,3.0,3,3,3,0
104715,"La Sal Mountains, southwest",-109.337975,38.38448,,1,1,1,0
106532,Lance Creek area,-104.28611,43.2425,,1,1,1,0
119021,McConnell I,-106.920998,35.563457,4.0,1,1,0,1
126540,Dana Quarry,-107.458336,44.051388,5.0,14,14,9,5
132242,"AMNH quarries, Sturgis area (PROXY)",-103.306946,44.474445,6.0,1,1,1,0
132243,"USNM Quarry, Sturgis area (PROXY)",-103.306946,44.474445,,1,1,1,0
142334,"near Brown's Ranch, Elk Mountains",-106.421387,44.037498,,1,1,1,0
142335,"Carnegie Quarry A, Sheep Creek",-105.889999,42.1469,,1,1,1,0
142336,"Carnegie Quarry B, Sheep Creek",-105.916199,42.152302,4.0,1,1,1,0
142337,"Carnegie Quarry 5, Sheep Creek",-105.908424,42.149494,,1,1,1,0
154924,Northern Dinosaur Beach (CURE),-107.400002,38.450001,3.0,5,5,3,2
154925,Dinosaur Beach (CURE),-107.400002,38.450001,3.0,3,3,2,1
164787,Gordon-Bramson-Brothers Quarry (MWC),-106.933334,39.200001,4.0,1,1,1,0
164830,McElmo Canyon,-108.747002,37.337002,4.0,1,1,0,1
168056,Como Bluff (AMNH 223),-106.07917,41.901386,6.0,1,1,1,0
176983,Poison Creek Quarry 1,-106.866402,44.0933,,5,5,4,1
176984,Poison Creek Quarry 2,-106.866402,44.0933,,1,1,1,0
176985,Poison Creek Quarry 3,-106.866402,44.0933,,1,1,0,1
177492,Big Nose Quarry,-105.885803,41.878601,,1,1,1,0
177496,Picketwire Canyonlands (upper),-103.676201,37.5322,,2,2,1,1
177497,Picketwire Canyonlands (middle),-103.676201,37.5322,,1,1,1,0
184626,"Eriksen Stegosaur, FPA",-108.767174,39.14613,4.0,1,1,1,0
184627,"Taildust Theropod Quarry, FPA (PROXY)",-108.728333,39.15889,4.0,1,1,0,1
