oid,cid,tna,tid,rnk,lng,lat,env,lt1,ldc,tpm,tps,tpt,cct,gsc,ccx,ccd,cnm,aut,pby,oei,guild,genus,collection_no,body_fossil,is_ootaxon
occ:937809,col:55258,Tarbosaurus,txn:53224,5.0,99.833054,43.474724,eolian indet.,sandstone,"""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",body,,,general faunal/floral,outcrop,field collection,"1994, 1997, 2006","Khermin Tsav I, Upper White Beds [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,predator,Tarbosaurus,55258,True,False
occ:937811,col:108341,Avimimus portentosus,txn:55489,3.0,107.76667,43.59111,fluvial indet.,sandstone,"Avimimus skeleton found in mudstone layer (1996, 2001 [femur]); ""Avimimus were found from mudstone layers of the lower and middle parts of the section in this area. In the thick sandstone layers in middle to upper parts of the section, large-scaled convolution disturbance is observed. Ripple marks on the top surface of the hard sandstone layers show NE-SW trend (32.4 + 180 degree, N = 11). Paleocurrent direction based on trough cross-stratification in the hard sandstone layers indicates southwest, west, northwest, and north.""",body,,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1996, 2001",Shar Tsav West [HMNS-GIN],Tsuihiji et al.,2017,Maastrichtian,predator,Avimimus,108341,True,False
occ:937816,col:108344,Ornithomimidae,txn:38539,9.0,102.669724,44.071945,fluvial indet.,mudstone,"""alternation of pale red fine sandstone and red mudstone""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection","1998, 2000, 2007",Yagaan Khovil [HMNS-GIN],Watabe and Tsogtbaatar,2004,Maastrichtian,predator,,108344,True,False
occ:937817,col:108344,Avimimus portentosus,txn:55489,3.0,102.669724,44.071945,fluvial indet.,mudstone,"""alternation of pale red fine sandstone and red mudstone""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection","1998, 2000, 2007",Yagaan Khovil [HMNS-GIN],Czepiński,2020,Maastrichtian,predator,Avimimus,108344,True,False
occ:962978,col:113009,Alioramus remotus,txn:57259,3.0,100.386108,43.469444,terrestrial indet.,not reported,,"body,soft parts",,snapshot,taxonomic,small collection,"selective quarrying,mechanical,survey of museum collection",2001,Tsagan Hushu [IGM],Brusatte et al.,2009,Maastrichtian,predator,Alioramus,113009,True,False
occ:1035238,col:100275,Hadrosauridae,txn:38755,9.0,99.833336,43.466667,fluvial-lacustrine indet.,not reported,,trace,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",1997,Khermeen Tsav I tracksite [HMNS-GIN],Currie et al.,2003,Maastrichtian,herbivore,,100275,False,False
occ:1035255,col:126783,Hadrosauridae,txn:38755,9.0,101.050934,43.495663,terrestrial indet.,siltstone,,"cast,mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection,observed (not collected)",2001-2002,Nemegt Footprint Site 18,Currie et al.,2003,Maastrichtian,herbivore,,126783,False,False
occ:1035256,col:126785,Sauropoda,txn:38653,25.0,101.063957,43.49044,terrestrial indet.,sandstone,,"cast,mold/impression,trace,soft parts",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2001-2002,Nemegt Footprint Site 6,Currie et al.,2003,Maastrichtian,herbivore,,126785,False,False
occ:1035257,col:126780,Gallimimus,txn:38547,5.0,101.050934,43.495663,terrestrial indet.,siltstone,,"body,cast,mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),field collection,observed (not collected)",2001-2002,Nemegt Footprint Site 14,Currie et al.,2003,Maastrichtian,predator,Gallimimus,126780,True,False
occ:1035258,col:126780,Dinosauria,txn:52775,25.0,101.050934,43.495663,terrestrial indet.,siltstone,,"body,cast,mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),field collection,observed (not collected)",2001-2002,Nemegt Footprint Site 14,Currie et al.,2003,Maastrichtian,herbivore,,126780,True,False
occ:1035261,col:126786,Theropoda,txn:38513,25.0,101.061981,43.492191,terrestrial indet.,not reported,,"mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),field collection,observed (not collected)",2001-2002,Nemegt Footprint Site 5,Currie et al.,2003,Maastrichtian,predator,,126786,False,False
occ:1035262,col:126786,Hadrosauridae,txn:38755,9.0,101.061981,43.492191,terrestrial indet.,not reported,,"mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),field collection,observed (not collected)",2001-2002,Nemegt Footprint Site 5,Currie et al.,2003,Maastrichtian,herbivore,,126786,False,False
occ:1035263,col:126788,Hadrosauridae,txn:38755,9.0,101.051117,43.497108,terrestrial indet.,siltstone,,"mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2001-2002,Nemegt Footprint Site 16,Currie et al.,2003,Maastrichtian,herbivore,,126788,False,False
occ:1035264,col:126787,Hadrosauridae,txn:38755,9.0,101.049232,43.497437,terrestrial indet.,siltstone,,"mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2001-2002,Nemegt Footprint Site 19,Currie et al.,2003,Maastrichtian,herbivore,,126787,False,False
occ:1035265,col:126783,Dinosauria,txn:52775,25.0,101.050934,43.495663,terrestrial indet.,siltstone,,"cast,mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection,observed (not collected)",2001-2002,Nemegt Footprint Site 18,Currie et al.,2003,Maastrichtian,herbivore,,126783,False,False
occ:1035266,col:126789,Hadrosauridae,txn:38755,9.0,101.051117,43.497108,terrestrial indet.,not reported,,"mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2001-2002,Nemegt Footprint Site 15,Currie et al.,2003,Maastrichtian,herbivore,,126789,False,False
occ:1035267,col:126790,Hadrosauridae,txn:38755,9.0,101.051117,43.497108,terrestrial indet.,not reported,,"mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2001-2002,Nemegt Footprint Site 13,Currie et al.,2003,Maastrichtian,herbivore,,126790,False,False
occ:1035268,col:126791,Hadrosauridae,txn:38755,9.0,101.051117,43.497108,terrestrial indet.,not reported,,"mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),observed (not collected)",2001-2002,Nemegt Footprint Site 10,Currie et al.,2003,Maastrichtian,herbivore,,126791,False,False
occ:1035269,col:126792,Sauropoda,txn:38653,25.0,101.063957,43.49044,terrestrial indet.,mudstone,,"mold/impression,trace",autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),field collection",2001-2002,Nemegt Footprint Site 2,Currie et al.,2003,Maastrichtian,herbivore,,126792,False,False
occ:1035270,col:126797,Tarbosaurus,txn:53224,5.0,100.010002,43.869446,terrestrial indet.,not reported,,"body,soft parts",parautochthonous,snapshot,taphonomic,small collection,"salvage,surface (in situ),field collection",2001,Bugin Tsav Tarbosaurus,Currie et al.,2003,Maastrichtian,predator,Tarbosaurus,126797,True,False
occ:1038328,col:13108,Brodavis mongoliensis,txn:232965,3.0,99.599998,43.540001,terrestrial indet.,sandstone,"variegated, predominately red sandstones",body,,,taxonomic,small collection,"selective quarrying,mechanical,field collection",1990s,Bugin Tsav [AMNH],Martin et al.,2012,Maastrichtian,predator,Brodavis,13108,True,False
occ:1058728,col:108344,Sauropoda,txn:38653,25.0,102.669724,44.071945,fluvial indet.,mudstone,"""alternation of pale red fine sandstone and red mudstone""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection","1998, 2000, 2007",Yagaan Khovil [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,herbivore,,108344,True,False
occ:1058736,col:130799,Theropoda,txn:38513,25.0,101.281944,43.985279,fluvial indet.,sandstone,"""alternation of sandstone and mudstone layers. In the section, the sandstone layers are dominant. Paleocurrent direction on trough cross-stratification of hard sandstone layers""",body,,snapshot,general faunal/floral,outcrop,"surface (float),field collection",1995,Khuree Tsav [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,,130799,True,False
occ:1058749,col:127679,Tarbosaurus,txn:53224,5.0,99.976669,43.816387,fluvial indet.,sandstone,,body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection","1993-1994, 1998, 2006",Bugin Tsav II [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,Tarbosaurus,127679,True,False
occ:1058750,col:127679,Sauropoda,txn:38653,25.0,99.976669,43.816387,fluvial indet.,sandstone,,body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection","1993-1994, 1998, 2006",Bugin Tsav II [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127679,True,False
occ:1058751,col:127679,Pachycephalosauria,txn:38782,12.0,99.976669,43.816387,fluvial indet.,sandstone,,body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection","1993-1994, 1998, 2006",Bugin Tsav II [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127679,True,False
occ:1058755,col:55257,Oviraptorosauria,txn:54546,11.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Watabe and Suzuki,2000,Maastrichtian,predator,,55257,True,False
occ:1058757,col:127679,Hadrosauridae,txn:38755,9.0,99.976669,43.816387,fluvial indet.,sandstone,,body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),mechanical,field collection","1993-1994, 1998, 2006",Bugin Tsav II [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127679,True,False
occ:1058771,col:55257,Deinocheirus mirificus,txn:57246,3.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Lee et al.,2014,Maastrichtian,predator,Deinocheirus,55257,True,False
occ:1058783,col:55257,Theropoda,txn:38513,25.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Suzuki and Watabe,2000,Maastrichtian,predator,,55257,True,False
occ:1058785,col:127670,Tarbosaurus,txn:53224,5.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,Tarbosaurus,127670,True,False
occ:1058786,col:127670,Oksoko avarsan,txn:430729,3.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Funston et al.,2020,Maastrichtian,predator,Oksoko,127670,True,False
occ:1058788,col:127670,Dinosauria,txn:52775,25.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,herbivore,,127670,True,False
occ:1058789,col:127670,Sauropoda,txn:38653,25.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,herbivore,,127670,True,False
occ:1058790,col:127670,Ankylosauridae,txn:38831,9.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127670,True,False
occ:1058791,col:127670,Saurolophus angustirostris,txn:64295,3.0,100.140282,43.852501,fluvial indet.,sandstone,"some fossils in ""the bluish white fine sandstone layers, overlying the red mudstone.""""Alternation of sandstone and mudstone layers is its dominant lithology. The paleosol horizons are very frequently observed in the beds.""",body,parautochthonous,,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993–1995, 1998",Gurilin Tsav [HMNS-GIN],Tsogtbaatar and Chinzorig,2007,Maastrichtian,herbivore,Saurolophus,127670,True,False
occ:1058792,col:130800,Theropoda,txn:38513,25.0,99.900558,43.7575,terrestrial indet.,sandstone,"""alternation of red sandstone and mudstone"" ""red-colored sandstone and mudstone with calcareous concretions.""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection","1998, 2006",Khaichin Ula I [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,predator,,130800,True,False
occ:1058793,col:130800,Elongatoolithidae,txn:65566,9.0,99.900558,43.7575,terrestrial indet.,sandstone,"""alternation of red sandstone and mudstone"" ""red-colored sandstone and mudstone with calcareous concretions.""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection","1998, 2006",Khaichin Ula I [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,130800,True,False
occ:1058794,col:127671,Elongatoolithidae,txn:65566,9.0,100.503891,43.598057,fluvial indet.,sandstone,"""The fossiliferous beds are alternation of sandstone and mudstone layers with fluvial origin""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection,observed (not collected)","1993, 1997, 2006",Altan Ula II [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,127671,True,False
occ:1058795,col:127671,Gallimimus,txn:38547,5.0,100.503891,43.598057,fluvial indet.,sandstone,"""The fossiliferous beds are alternation of sandstone and mudstone layers with fluvial origin""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection,observed (not collected)","1993, 1997, 2006",Altan Ula II [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,Gallimimus,127671,True,False
occ:1058796,col:127673,Gallimimus,txn:38547,5.0,100.5,43.600834,fluvial indet.,sandstone,"""gray blue silt-fine-grained sandstone beds""; ""alternation of sandstone and mudstone layers, with intercalations of conglomerate layers (grain size is granule).""",body,,,general faunal/floral,small collection,"surface (float),surface (in situ),field collection","1993, 1997, 2006",Altan Ula III [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,Gallimimus,127673,True,False
occ:1058797,col:127673,Dinosauria,txn:52775,25.0,100.5,43.600834,fluvial indet.,sandstone,"""gray blue silt-fine-grained sandstone beds""; ""alternation of sandstone and mudstone layers, with intercalations of conglomerate layers (grain size is granule).""",body,,,general faunal/floral,small collection,"surface (float),surface (in situ),field collection","1993, 1997, 2006",Altan Ula III [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127673,True,False
occ:1058798,col:127674,Tarbosaurus,txn:53224,5.0,100.457779,43.597221,fluvial indet.,sandstone,"""The beds with rich vertebrate fossils are alternation of sandstone and mudstone layers with fluvial origin.""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),mechanical,field collection","1993, 1997, 2006-2007",Altan Ula IV [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,Tarbosaurus,127674,True,False
occ:1058799,col:127681,Sauropoda,txn:38653,25.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127681,True,False
occ:1058800,col:127681,Tarbosaurus,txn:53224,5.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,Tarbosaurus,127681,True,False
occ:1058801,col:127681,Prenocephale,txn:38790,5.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Evans et al.,2018,Maastrichtian,herbivore,Prenocephale,127681,True,False
occ:1058803,col:127675,Ornithomimidae,txn:38539,9.0,101.050003,43.501667,fluvial indet.,sandstone,,body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1993, 1994","Nemegt, Northern Sayr [HMNS-GIN] — Nemegt Fm.",Watabe and Suzuki,2000,Maastrichtian,predator,,127675,True,False
occ:1058804,col:127675,Pachycephalosauria,txn:38782,12.0,101.050003,43.501667,fluvial indet.,sandstone,,body,,,taxonomic,small collection,"surface (float),surface (in situ),field collection","1993, 1994","Nemegt, Northern Sayr [HMNS-GIN] — Nemegt Fm.",Watabe and Suzuki,2000,Maastrichtian,herbivore,,127675,True,False
occ:1058810,col:55258,Gallimimus,txn:38547,5.0,99.833054,43.474724,eolian indet.,sandstone,"""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",body,,,general faunal/floral,outcrop,field collection,"1994, 1997, 2006","Khermin Tsav I, Upper White Beds [HMNS-GIN]",Watabe and Suzuki,2000,Maastrichtian,predator,Gallimimus,55258,True,False
occ:1058815,col:55258,Tarchia,txn:38836,5.0,99.833054,43.474724,eolian indet.,sandstone,"""well-sorted medium to fine, reddish to pale orange cemented sand beds and massive mud beds with conglomerates of gravel-sized clasts. The sediments in the reddish sand beds exhibit large-scale trough cross-bedding.""",body,,,general faunal/floral,outcrop,field collection,"1994, 1997, 2006","Khermin Tsav I, Upper White Beds [HMNS-GIN]",Watabe et al.,2010,Maastrichtian,herbivore,Tarchia,55258,True,False
occ:1058818,col:127682,Coralloidoolithus verrucarius,txn:84310,3.0,100.46167,43.483891,fluvial indet.,sandstone,"""Lithology of the beds is alternation of sandstone and mudstone layers with fluvial origin. Total thickness of the beds is about 25 m. Paleosol are developed in those beds. Paleocurrent direction on trough cross-stratification of hard sandstone layers is W to NW (299.1 degree, standard deviation = 6.45, N = 8).""",body,,,general faunal/floral,outcrop,"surface (float),surface (in situ),field collection","1993, 2006",Ulaan Khushu [HMNS-GIN],Tanaka et al.,2023,Maastrichtian,herbivore,Coralloidoolithus,127682,True,True
occ:1058829,col:108344,Sauropoda,txn:38653,25.0,102.669724,44.071945,fluvial indet.,mudstone,"""alternation of pale red fine sandstone and red mudstone""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection","1998, 2000, 2007",Yagaan Khovil [HMNS-GIN],Watabe and Tsogtbaatar,2004,Maastrichtian,herbivore,,108344,True,False
occ:1058830,col:108344,Tyrannosauridae,txn:38606,9.0,102.669724,44.071945,fluvial indet.,mudstone,"""alternation of pale red fine sandstone and red mudstone""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection","1998, 2000, 2007",Yagaan Khovil [HMNS-GIN],Watabe and Tsogtbaatar,2004,Maastrichtian,predator,,108344,True,False
occ:1058831,col:108344,Elongatoolithidae,txn:65566,9.0,102.669724,44.071945,fluvial indet.,mudstone,"""alternation of pale red fine sandstone and red mudstone""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection","1998, 2000, 2007",Yagaan Khovil [HMNS-GIN],Watabe and Tsogtbaatar,2004,Maastrichtian,predator,,108344,True,False
occ:1058832,col:108344,Spheroolithidae,txn:67194,9.0,102.669724,44.071945,fluvial indet.,mudstone,"""alternation of pale red fine sandstone and red mudstone""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection","1998, 2000, 2007",Yagaan Khovil [HMNS-GIN],Watabe and Tsogtbaatar,2004,Maastrichtian,herbivore,,108344,True,False
occ:1111927,col:37006,Ankylosauridae,txn:38831,9.0,100.483612,43.572498,terrestrial indet.,sandstone,,"body,soft parts",autochthonous,snapshot,taxonomic,small collection,"selective quarrying,mechanical,field collection","1965, 1971","Altan Ula III, site 1 [PMPE]",Arbour et al.,2014,Maastrichtian,herbivore,,37006,True,False
occ:1207021,col:84444,Gurilynia nessovi,txn:296022,3.0,100.477776,43.572224,terrestrial indet.,not reported,,body,,,taxonomic,outcrop,"surface (in situ),field collection","1987, 1994",Gurilyn Tsav [RMPE],Kurochkin,1999,Maastrichtian,predator,Gurilynia,84444,True,False
occ:1211890,col:69801,Tarbosaurus bataar,txn:63705,3.0,99.599998,43.540001,terrestrial indet.,sandstone,"""variegated, predominantly red sandstones""",body,,snapshot,taxonomic,outcrop,"mechanical,survey of museum collection",1987,Bugin Tsav [SMPE],Perle et al.,1994,Maastrichtian,predator,Tarbosaurus,69801,True,False
occ:1244153,col:55257,Dendroolithidae,txn:67212,9.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Suzuki and Watabe,2000,Maastrichtian,predator,,55257,True,False
occ:1244154,col:55257,Spheroolithidae,txn:67194,9.0,100.011108,43.86639,fine channel fill,siltstone,"""upper white sandstone bed""",body,autochthonous,snapshot,general faunal/floral,outcrop,"surface (in situ),mechanical,field collection","1993-1995, 1998, 2006, 2008–2010, 2018",Bugin Tsav I [HMNS-GIN/KID],Suzuki and Watabe,2000,Maastrichtian,herbivore,,55257,True,False
occ:1244155,col:130800,Dendroolithidae,txn:67212,9.0,99.900558,43.7575,terrestrial indet.,sandstone,"""alternation of red sandstone and mudstone"" ""red-colored sandstone and mudstone with calcareous concretions.""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection","1998, 2006",Khaichin Ula I [HMNS-GIN],Watabe et al.,2010,Maastrichtian,predator,,130800,True,False
occ:1244156,col:130800,Gallimimus,txn:38547,5.0,99.900558,43.7575,terrestrial indet.,sandstone,"""alternation of red sandstone and mudstone"" ""red-colored sandstone and mudstone with calcareous concretions.""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (in situ),field collection","1998, 2006",Khaichin Ula I [HMNS-GIN],Suzuki and Watabe,2000,Maastrichtian,predator,Gallimimus,130800,True,False
occ:1265939,col:168111,Dendroolithidae,txn:67212,9.0,107.690277,43.582222,fluvial indet.,mudstone,"""Lithology of the fossiliferous beds mainly consists of alternation of mudstone and fine-grained sandstone layers. Mudstone is more dominant than the latter.""",body,,,general faunal/floral,outcrop,"surface (in situ),field collection",1996,Shar Tsav [HMNS-GIN],Tanaka et al.,2023,Maastrichtian,predator,,168111,True,False
occ:1265997,col:108344,Carnosauria,txn:53943,11.0,102.669724,44.071945,fluvial indet.,mudstone,"""alternation of pale red fine sandstone and red mudstone""",body,,,general faunal/floral,outcrop,"selective quarrying,surface (float),surface (in situ),mechanical,field collection","1998, 2000, 2007",Yagaan Khovil [HMNS-GIN],Saneyoshi et al.,2010,Maastrichtian,predator,,108344,True,False
occ:1267017,col:127681,Gallimimus,txn:38547,5.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,predator,Gallimimus,127681,True,False
occ:1267018,col:127681,Dinosauria,txn:52775,25.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127681,True,False
occ:1267019,col:127681,Saurolophus angustirostris,txn:64295,3.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Tsogtbaatar and Chinzorig,2007,Maastrichtian,herbivore,Saurolophus,127681,True,False
occ:1267021,col:127681,Ankylosauria,txn:38816,25.0,100.359718,43.482777,fluvial indet.,sandstone,"""The bituminous sandstone with fine horizontal lamination was found in the part of alternation of mudstone and sandstone""; ""The fossiliferous beds of this area are alternation of sandstone and mudstone layers with fluvial origin. Those beds are horizontally situated. Dinosaur bones and associated skeletons are included in those layers. There is a finely stratified mudstone lens with high contents of carbon material that yield pollen and spore.""",body,,,general faunal/floral,outcrop,"bulk,surface (float),surface (in situ),field collection","1993, 1997, 2006",Tsagan Khushu [HMNS-GIN],Watabe and Suzuki,2000,Maastrichtian,herbivore,,127681,True,False
