website_domain,registry_systems,reachable_systems,motorized_declared_systems,motorized_micromobility_systems,evaluable_vehicle_feeds,battery_percent_feeds,range_feeds,last_reported_feeds
styrochstall.se,1,1,0,0,1,0,0,0
swu.de,1,0,0,0,0,0,0,0
teilauto-biberach.de,1,1,1,0,1,1,1,0
teilauto-hall.de,1,1,1,0,1,1,1,0
topolovenibikecity.ro,1,1,0,0,1,0,0,0
torunskirower.pl,1,1,0,0,1,0,0,0
trondheimbysykkel.no,1,0,0,0,0,0,0,0
truckee.bcycle.com,1,1,0,0,0,0,0,0
tychowskirower.pl,1,1,0,0,1,0,0,0
valenbisi.es,1,1,0,0,0,0,0,0
vel-in.fr,1,1,0,0,1,0,0,0
velib-metropole.fr,1,1,0,0,0,0,0,0
velo-antwerpen.be,1,1,0,0,0,0,0,0
velo.naolib.fr,1,1,0,0,0,0,0,0
velostanlib.fr,1,1,0,0,0,0,0,0
vls.velhop.strasbourg.eu,1,1,0,0,1,0,0,0
winsenrad.de,1,1,0,0,1,0,0,0
wlower.pl,1,1,0,0,1,0,0,0
yaldi.ae,1,0,0,0,0,0,0,0
yelo.agglo-larochelle.fr,1,1,0,0,0,0,0,0
zeo-carsharing.de,1,1,1,0,0,0,0,0
zyrardowskirower.pl,1,1,0,0,1,0,0,0
