specialty,specialty_en,outcome,year,forecast_mean,forecast_lower,forecast_upper
眼科,Ophthalmology,facilities,2033,7897.695071848001,7584.5390278016075,8210.851115894395
耳鼻咽喉科,Otolaryngology,physicians,2024,8903.080534604418,8861.704428874262,8944.456640334574
耳鼻咽喉科,Otolaryngology,physicians,2025,9108.921772999433,9053.68178009902,9164.161765899846
耳鼻咽喉科,Otolaryngology,physicians,2026,8773.494333232431,8651.816081978011,8895.17258448685
耳鼻咽喉科,Otolaryngology,physicians,2027,7625.699911809036,7500.0100752862045,7751.389748331868
耳鼻咽喉科,Otolaryngology,physicians,2028,7895.0099535045465,7563.788986196696,8226.230920812397
耳鼻咽喉科,Otolaryngology,physicians,2029,11314.498852024268,10799.140659009992,11829.857045038543
耳鼻咽喉科,Otolaryngology,physicians,2030,14180.475511820463,13385.20760073436,14975.743422906566
耳鼻咽喉科,Otolaryngology,physicians,2031,5393.4923909589015,3486.350697307643,7300.63408461016
耳鼻咽喉科,Otolaryngology,physicians,2032,-10693.89317344709,-12634.560874200455,-8753.225472693724
耳鼻咽喉科,Otolaryngology,physicians,2033,460.05668883715316,-5559.997801742006,6480.111179416313
耳鼻咽喉科,Otolaryngology,facilities,2024,6391.957292906112,6387.546100193196,6396.368485619028
耳鼻咽喉科,Otolaryngology,facilities,2025,6328.030838623039,6321.750687934415,6334.310989311663
耳鼻咽喉科,Otolaryngology,facilities,2026,6261.603095510912,6253.951565258683,6269.25462576314
耳鼻咽喉科,Otolaryngology,facilities,2027,6215.892610543596,6204.428333705529,6227.356887381662
耳鼻咽喉科,Otolaryngology,facilities,2028,6093.8099745668715,6079.687958474899,6107.931990658844
耳鼻咽喉科,Otolaryngology,facilities,2029,5990.923618551461,5976.037076274984,6005.810160827938
耳鼻咽喉科,Otolaryngology,facilities,2030,5876.023749702354,5843.849091235587,5908.19840816912
耳鼻咽喉科,Otolaryngology,facilities,2031,5996.511820758464,5958.769618874281,6034.254022642646
耳鼻咽喉科,Otolaryngology,facilities,2032,6048.7866303741575,6005.403568259443,6092.169692488872
耳鼻咽喉科,Otolaryngology,facilities,2033,6033.07531799788,5933.728948405243,6132.421687590518
泌尿器科,Urology,physicians,2024,7176.546922574673,7111.319709011767,7241.774136137578
泌尿器科,Urology,physicians,2025,7240.52460898818,7145.315203793484,7335.734014182876
泌尿器科,Urology,physicians,2026,7305.28738335584,7185.640466820223,7424.934299891456
泌尿器科,Urology,physicians,2027,7370.528887558974,7229.710895782639,7511.346879335309
泌尿器科,Urology,physicians,2028,7436.1039335272335,7276.428195431119,7595.779671623348
泌尿器科,Urology,physicians,2029,7501.943886693426,7325.149920913461,7678.737852473391
泌尿器科,Urology,physicians,2030,7568.01647485596,7375.456034405369,7760.576915306551
泌尿器科,Urology,physicians,2031,7634.30669820776,7427.057215036002,7841.5561813795175
泌尿器科,Urology,physicians,2032,7700.807761990771,7479.747043757188,7921.868480224353
泌尿器科,Urology,physicians,2033,7767.516769694097,7533.373881177276,8001.659658210918
泌尿器科,Urology,facilities,2024,4789.537815382064,4786.887062765271,4792.188567998856
泌尿器科,Urology,facilities,2025,4802.509377884811,4799.112590601853,4805.906165167769
泌尿器科,Urology,facilities,2026,4807.900189904711,4803.94346008053,4811.856919728892
泌尿器科,Urology,facilities,2027,4745.77795330257,4739.352201580762,4752.203705024377
泌尿器科,Urology,facilities,2028,4601.858143110165,4589.226342592185,4614.489943628145
泌尿器科,Urology,facilities,2029,4504.998366924084,4486.47206157356,4523.524672274608
泌尿器科,Urology,facilities,2030,4984.2358272359215,4960.998393163103,5007.47326130874
泌尿器科,Urology,facilities,2031,6382.170364553353,6300.345433388632,6463.995295718073
泌尿器科,Urology,facilities,2032,7673.03701999903,7525.209602805465,7820.864437192596
泌尿器科,Urology,facilities,2033,4109.275339570102,3937.813059991008,4280.737619149197
皮膚科,Dermatology,physicians,2024,9788.80390650645,9738.849574423108,9838.758238589791
皮膚科,Dermatology,physicians,2025,9800.071401632458,9732.428769720089,9867.714033544828
皮膚科,Dermatology,physicians,2026,9708.517140703494,9624.373175574,9792.661105832989
皮膚科,Dermatology,physicians,2027,9681.318262513842,9581.149705758318,9781.486819269365
皮膚科,Dermatology,physicians,2028,9569.436019501505,9465.193351975955,9673.678687027055
皮膚科,Dermatology,physicians,2029,9583.571846203742,9478.980924325746,9688.162768081738
皮膚科,Dermatology,physicians,2030,9500.451662519852,9374.053207690593,9626.850117349111
皮膚科,Dermatology,physicians,2031,9550.883001907872,9403.345359004832,9698.420644810913
皮膚科,Dermatology,physicians,2032,9437.996965818515,9236.181303786136,9639.812627850893
皮膚科,Dermatology,physicians,2033,9456.721828637614,9233.739212540077,9679.70444473515
皮膚科,Dermatology,facilities,2024,9897.125487147325,9887.85763212165,9906.393342173
皮膚科,Dermatology,facilities,2025,9943.126306121643,9926.297740444803,9959.954871798484
皮膚科,Dermatology,facilities,2026,9986.73582519981,9963.080201316674,10010.391449082947
皮膚科,Dermatology,facilities,2027,10028.650876015421,9998.90588308871,10058.395868942132
皮膚科,Dermatology,facilities,2028,10068.120696160997,10032.858756790154,10103.38263553184
皮膚科,Dermatology,facilities,2029,10105.38138060085,10065.073522980569,10145.68923822113
皮膚科,Dermatology,facilities,2030,10139.970560392572,10094.959843807126,10184.981276978018
皮膚科,Dermatology,facilities,2031,10171.921307763012,10122.486750553591,10221.355864972433
皮膚科,Dermatology,facilities,2032,10200.931514711901,10147.279859579256,10254.583169844547
皮膚科,Dermatology,facilities,2033,10226.950509720686,10169.25410260812,10284.646916833251
麻酔科,Anaesthesiology,physicians,2024,10833.944864955187,10765.75928757865,10902.130442331723
麻酔科,Anaesthesiology,physicians,2025,11008.763072233507,10911.298801046449,11106.227343420565
麻酔科,Anaesthesiology,physicians,2026,11182.882276722263,11062.232074784368,11303.532478660158
麻酔科,Anaesthesiology,physicians,2027,11356.254335653324,11215.619606392367,11496.889064914281
麻酔科,Anaesthesiology,physicians,2028,11528.847651575115,11370.376018487968,11687.319284662262
麻酔科,Anaesthesiology,physicians,2029,11700.641935771626,11525.950781911293,11875.333089631959
麻酔科,Anaesthesiology,physicians,2030,11871.624627016132,11682.00881877297,12061.240435259293
麻酔科,Anaesthesiology,physicians,2031,12041.788442402101,11838.321774992039,12245.255109812164
麻酔科,Anaesthesiology,physicians,2032,12211.12970239738,11994.722722211316,12427.536682583444
麻酔科,Anaesthesiology,physicians,2033,12379.647185386695,12151.084164211994,12608.210206561396
