species,event_year,kind,obs_redist,env_pred_redist,hist_pred_redist,n_routes
4090,2016,hot,0.0,0.18032786885245902,0.28415300546448086,732
4090,2008,cold,0.0,0.2607594936708861,0.20506329113924052,790
4090,2009,cold,0.0,0.34610472541507026,0.25798212005108556,783
4090,2014,cold,0.0,0.31451612903225806,0.271505376344086,744
4120,2012,hot,0.0,0.7207488299531981,0.30109204368174725,641
4120,2016,hot,0.0,0.24440894568690097,0.3722044728434505,626
4120,2008,cold,0.0,0.3217893217893218,0.2222222222222222,693
4120,2009,cold,0.0,0.35798816568047337,0.13609467455621302,676
4120,2014,cold,0.0,0.6513470681458003,0.34072900158478603,631
4130,2012,hot,0.0,0.6888888888888889,0.4177777777777778,225
4130,2016,hot,0.0,0.3359683794466403,0.3557312252964427,253
4130,2008,cold,0.0,0.28771929824561404,0.26666666666666666,285
4130,2009,cold,0.0,0.33090909090909093,0.2872727272727273,275
4130,2014,cold,0.0,0.20866141732283464,0.18110236220472442,254
4200,2012,hot,0.0,0.8647540983606558,0.5573770491803278,244
4200,2016,hot,0.0,0.1976284584980237,0.24110671936758893,253
4200,2008,cold,0.0,0.17883211678832117,0.12408759124087591,274
4200,2009,cold,0.0,0.19291338582677164,0.1062992125984252,254
4200,2014,cold,0.0,0.5970149253731343,0.3358208955223881,268
4230,2012,hot,0.0,0.23469387755102042,0.2653061224489796,588
4230,2016,hot,0.0,0.2838827838827839,0.32051282051282054,546
4230,2008,cold,0.0,0.6651090342679128,0.6495327102803738,642
4230,2009,cold,0.0,0.1761904761904762,0.18095238095238095,630
4230,2014,cold,0.0,0.35315315315315315,0.3225225225225225,555
4280,2012,hot,0.0,0.3,0.19545454545454546,220
4280,2016,hot,0.0,0.2752808988764045,0.3595505617977528,178
4280,2008,cold,0.0,0.2549800796812749,0.38645418326693226,251
4280,2009,cold,0.0,0.2033195020746888,0.3360995850622407,241
4280,2014,cold,0.0,0.26732673267326734,0.297029702970297,202
4440,2012,hot,0.0,0.6234866828087167,0.3220338983050847,826
4440,2016,hot,0.0,0.22957198443579765,0.3216601815823606,771
4440,2008,cold,0.0,0.3707742639040349,0.4318429661941112,917
4440,2009,cold,0.0,0.2672811059907834,0.28456221198156684,868
4440,2014,cold,0.0,0.41238471673254284,0.31752305665349145,759
4520,2012,hot,0.0,0.7606177606177607,0.36036036036036034,777
4520,2016,hot,0.0,0.11559888579387187,0.2618384401114206,718
4520,2008,cold,0.0,0.296969696969697,0.26545454545454544,825
4520,2009,cold,0.0,0.38002594033722437,0.3424124513618677,771
4520,2014,cold,0.0,0.8529014844804319,0.4898785425101215,741
4560,2012,hot,0.0,0.4316455696202532,0.34177215189873417,790
